"Educator Race/Ethnicity Report for 2006-07"

"District","School","Race","Count","% of Total"
"Amistad Academy District","Amistad Academy","Asian",2,5.9
,,"Black or African American",7,20.6
,,"Hispanic",2,5.9
,,"White",23,67.6
"Andover School District","Andover Elementary School","White",33,100.0
"Ansonia School District","Ansonia High School","Black or African American",2,3.7
,,"Hispanic",1,1.9
,,"White",51,94.4
,"Ansonia Middle School","Black or African American",3,6.0
,,"White",47,94.0
,"Mead School","Asian",1,2.2
,,"Black or African American",3,6.7
,,"White",41,91.1
,"Prendergast School","Black or African American",1,1.9
,,"White",52,98.1
"Area Cooperative Educational Services","A. C. E. S. Special Education Town Campus Learning Center","White",5,100.0
,"Collaborative Alternative Magnet School","Black or African American",1,7.7
,,"Hispanic",1,7.7
,,"White",11,84.6
,"Thomas Edison Magnet Middle School","Asian",1,1.4
,,"Black or African American",5,7.0
,,"Hispanic",5,7.0
,,"White",60,84.5
,"Wintergreen Interdistrict Magnet School","Black or African American",4,7.0
,,"Hispanic",2,3.5
,,"White",51,89.5
"Ashford School District","Ashford School","White",52,100.0
"Avon School District","Avon High School","Black or African American",1,1.2
,,"Hispanic",1,1.2
,,"White",81,97.6
,"Avon Middle School","Hispanic",1,1.9
,,"White",52,98.1
,"Pine Grove School","White",48,100.0
,"Roaring Brook School","White",55,100.0
,"Thompson Brook School","White",47,100.0
"Barkhamsted School District","Barkhamsted Elementary School","White",35,100.0
"Berlin School District","Berlin High School","Hispanic",1,1.0
,,"White",99,99.0
,"Catherine M. McGee Middle School","Asian",1,1.4
,,"White",73,98.6
,"Emma Hart Willard School","White",51,100.0
,"Mary E. Griswold School","White",49,100.0
,"Richard D. Hubbard School","White",27,100.0
"Bethany School District","Bethany Community School","White",54,100.0
"Bethel School District","Anna H. Rockwell School","White",38,100.0
,"Bethel High School","Asian",1,1.5
,,"Black or African American",1,1.5
,,"White",65,97.0
,"Bethel Middle School","Hispanic",1,1.4
,,"White",70,98.6
,"Frank A. Berry School","White",44,100.0
,"Ralph M. T. Johnson School","White",40,100.0
"Bloomfield School District","Bloomfield High School","Asian",3,4.0
,,"Black or African American",17,22.7
,,"Hispanic",2,2.7
,,"White",52,69.3
,,"American Indian",1,1.3
,"Carmen Arace Intermediate School","Black or African American",8,16.0
,,"White",42,84.0
,"Carmen Arace Middle School","Asian",1,2.0
,,"Black or African American",14,27.5
,,"Hispanic",1,2.0
,,"White",35,68.6
,"J. P. Vincent School","Black or African American",10,24.4
,,"White",31,75.6
,"Laurel School","Black or African American",6,18.2
,,"White",27,81.8
,"Metacomet School","Black or African American",3,9.1
,,"White",30,90.9
,"The Big Picture High School","Black or African American",2,40.0
,,"White",3,60.0
"Bolton School District","Bolton Center School","Hispanic",1,1.7
,,"White",58,98.3
,"Bolton High School","White",40,100.0
"Bozrah School District","Fields Memorial School","Hispanic",1,3.3
,,"White",29,96.7
"Branford School District","Branford High School","Black or African American",1,0.9
,,"Hispanic",3,2.7
,,"White",106,96.4
,"Francis Walsh Intermediate School","Hispanic",1,1.0
,,"White",103,99.0
,"Indian Neck School","White",6,100.0
,"John B. Sliney School","Black or African American",1,2.9
,,"White",34,97.1
,"Mary R. Tisko School","White",40,100.0
,"Mary T. Murphy School","White",39,100.0
"Bridgeport School District","Barnum School","Asian",2,7.4
,,"Black or African American",2,7.4
,,"Hispanic",4,14.8
,,"White",19,70.4
,"Bassick High School","Asian",2,2.2
,,"Black or African American",11,11.8
,,"Hispanic",6,6.5
,,"White",74,79.6
,"Beardsley School","Asian",1,2.3
,,"Black or African American",4,9.1
,,"White",39,88.6
,"Black Rock School","Asian",1,3.0
,,"Black or African American",4,12.1
,,"Hispanic",2,6.1
,,"White",26,78.8
,"Blackham School","Asian",1,1.3
,,"Black or African American",7,8.8
,,"Hispanic",6,7.5
,,"White",66,82.5
,"Bridgeport Learning Center","Asian",1,5.9
,,"Black or African American",5,29.4
,,"White",11,64.7
,"Bridgeport Regional Vocational Aquaculture School","Asian",1,6.7
,,"Hispanic",1,6.7
,,"White",13,86.7
,"Bryant School","Black or African American",1,3.2
,,"Hispanic",1,3.2
,,"White",29,93.5
,"Central High School","Asian",1,0.6
,,"Black or African American",23,13.1
,,"Hispanic",13,7.4
,,"White",137,78.3
,,"American Indian",1,0.6
,"Cesar Batalla School","Asian",1,1.6
,,"Black or African American",5,8.2
,,"Hispanic",22,36.1
,,"White",33,54.1
,"Classical Studies Academy","Black or African American",3,9.4
,,"Hispanic",2,6.3
,,"White",27,84.4
,"Columbus School","Asian",3,4.7
,,"Black or African American",4,6.3
,,"Hispanic",10,15.6
,,"White",46,71.9
,,"American Indian",1,1.6
,"Cross School","Black or African American",11,23.9
,,"Hispanic",1,2.2
,,"White",34,73.9
,"Curiale School","Black or African American",7,12.1
,,"Hispanic",7,12.1
,,"White",42,72.4
,,"American Indian",2,3.4
,"Dunbar School","Asian",1,2.1
,,"Black or African American",20,42.6
,,"Hispanic",2,4.3
,,"White",24,51.1
,"Edison School","Black or African American",2,6.7
,,"Hispanic",1,3.3
,,"White",27,90.0
,"Garfield School","Hispanic",8,28.6
,,"White",20,71.4
,"Geraldine Johnson School","Asian",1,5.9
,,"Black or African American",4,23.5
,,"Hispanic",1,5.9
,,"White",11,64.7
,"Hall School","Black or African American",5,17.2
,,"White",24,82.8
,"Hallen School","Asian",2,5.6
,,"Black or African American",4,11.1
,,"White",30,83.3
,"Harding High School","Asian",1,0.9
,,"Black or African American",23,19.8
,,"Hispanic",16,13.8
,,"White",76,65.5
,"High Horizons Magnet School","Black or African American",6,18.8
,,"White",26,81.3
,"Hooker School","Black or African American",6,14.6
,,"Hispanic",2,4.9
,,"White",33,80.5
,"Jettie S. Tisdale School","Black or African American",4,13.3
,,"Hispanic",4,13.3
,,"White",22,73.3
,"Longfellow School","Asian",1,2.0
,,"Black or African American",22,43.1
,,"Hispanic",2,3.9
,,"White",26,51.0
,"Luis Munoz Marin School","Black or African American",4,5.7
,,"Hispanic",15,21.4
,,"White",51,72.9
,"Madison School","Black or African American",3,5.7
,,"Hispanic",1,1.9
,,"White",49,92.5
,"Make The Grade","Black or African American",2,25.0
,,"Hispanic",1,12.5
,,"White",5,62.5
,"Maplewood Annex","Asian",1,4.5
,,"Black or African American",3,13.6
,,"Hispanic",1,4.5
,,"White",17,77.3
,"Multicultural Magnet School","Black or African American",3,7.9
,,"Hispanic",7,18.4
,,"White",28,73.7
,"Park City Academy","Black or African American",3,37.5
,,"White",5,62.5
,"Park City Magnet School","Asian",2,5.6
,,"Black or African American",5,13.9
,,"Hispanic",2,5.6
,,"White",27,75.0
,"Read School","Black or African American",9,13.4
,,"Hispanic",2,3.0
,,"White",56,83.6
,"Roosevelt School","Asian",4,6.3
,,"Black or African American",9,14.3
,,"Hispanic",11,17.5
,,"White",39,61.9
,"Skane Center","Asian",1,3.4
,,"Black or African American",3,10.3
,,"Hispanic",2,6.9
,,"White",23,79.3
,"Waltersville School","Asian",1,2.6
,,"Black or African American",4,10.5
,,"Hispanic",8,21.1
,,"White",25,65.8
,"Winthrop School","Black or African American",15,25.9
,,"Hispanic",2,3.4
,,"White",41,70.7
"Bristol School District","Bristol Central High School","Asian",3,2.5
,,"Black or African American",2,1.7
,,"Hispanic",1,0.8
,,"White",112,94.9
,"Bristol Eastern High School","Asian",1,0.9
,,"Black or African American",1,0.9
,,"Hispanic",1,0.9
,,"White",104,97.2
,"Chippens Hill Middle School","Black or African American",4,4.9
,,"Hispanic",1,1.2
,,"White",76,93.8
,"Clara T. O'Connell School","Asian",1,2.5
,,"Black or African American",1,2.5
,,"White",38,95.0
,"Clarence A. Bingham School","Hispanic",1,3.7
,,"White",26,96.3
,"Edgewood School","Hispanic",1,2.7
,,"White",36,97.3
,"Ellen P. Hubbell School","Black or African American",1,2.5
,,"White",39,97.5
,"Greene-Hills School","Asian",1,3.0
,,"Hispanic",1,3.0
,,"White",31,93.9
,"Ivy Drive School","White",34,100.0
,"John J. Jennings School","Hispanic",1,3.1
,,"White",31,96.9
,"Memorial Boulevard Middle School","White",51,100.0
,"Mountain View School","White",37,100.0
,"Northeast Middle School","White",50,100.0
,"South Side School","Hispanic",5,11.6
,,"White",38,88.4
,"Stafford School","White",43,100.0
"Brookfield School District","Brookfield High School","Asian",1,1.2
,,"Black or African American",1,1.2
,,"White",80,97.6
,"Center Elementary School","Black or African American",1,2.7
,,"White",36,97.3
,"Huckleberry Hill Elementary School","Hispanic",1,2.0
,,"White",49,98.0
,"Whisconier Middle School","Hispanic",1,1.3
,,"White",75,97.4
,,"American Indian",1,1.3
"Brooklyn School District","Brooklyn Elementary School","Hispanic",1,2.2
,,"White",45,97.8
,"Brooklyn Middle School","White",41,100.0
"Canaan School District","Lee H. Kellogg School","White",19,100.0
"Canterbury School District","Canterbury Elementary School","Asian",1,3.7
,,"White",25,92.6
,,"American Indian",1,3.7
,"Dr. Helen Baldwin Middle School","Black or African American",1,3.7
,,"White",26,96.3
"Canton School District","Canton High School","Black or African American",1,1.9
,,"White",53,98.1
,"Canton Intermediate School","White",37,100.0
,"Canton Middle School","Asian",1,2.9
,,"White",34,97.1
,"Cherry Brook Primary School","White",41,100.0
"Capitol Region Education Council","CREC Early Learning Center at Asylum Hill","Hispanic",3,5.9
,,"White",48,94.1
,"Discovery Academy","White",10,100.0
,"Farmington Valley Regional Diagnostic Center","Black or African American",1,20.0
,,"White",4,80.0
,"Glastonbury/East Hartford Magnet School","Asian",2,9.1
,,"Hispanic",1,4.5
,,"White",19,86.4
,"Great Path Academy at MCC","White",8,100.0
,"Greater Hartford Academy of Math and Science","Black or African American",1,7.1
,,"White",13,92.9
,"John J. Allison Polaris Center","Black or African American",2,15.4
,,"Hispanic",1,7.7
,,"White",10,76.9
,"Metropolitan Learning Center for Global and International Studies","Asian",1,1.6
,,"Black or African American",7,10.9
,,"Hispanic",4,6.3
,,"White",52,81.3
,"Montessori Magnet School","Asian",1,4.3
,,"Black or African American",4,17.4
,,"Hispanic",4,17.4
,,"White",14,60.9
,"Soundbridge","Hispanic",1,4.8
,,"White",20,95.2
,"Two Rivers Magnet Middle School","Asian",1,1.7
,,"Black or African American",5,8.5
,,"Hispanic",2,3.4
,,"White",51,86.4
,"University of Hartford Magnet School","Black or African American",1,2.8
,,"White",35,97.2
"Chaplin School District","Chaplin Elementary School","White",27,100.0
"Cheshire School District","Chapman School","White",34,100.0
,"Cheshire High School","Asian",3,2.1
,,"Black or African American",2,1.4
,,"Hispanic",1,0.7
,,"White",134,95.7
,"Darcey School","White",29,100.0
,"Dodd Middle School","Hispanic",2,2.7
,,"White",72,97.3
,"Doolittle School","Asian",1,2.0
,,"Hispanic",1,2.0
,,"White",47,95.9
,"Highland School","Asian",1,1.3
,,"White",75,98.7
,"Humiston School","White",7,100.0
,"Norton School","Black or African American",1,2.3
,,"White",42,97.7
