"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, High Needs Status"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","High Needs Status","2010-11","2011-12","2012-13","2013-14","2014-15"
"Amistad Academy District","Amistad Academy","High Needs",50.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs",69.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","High Needs",57.6,70.2,70.3,75.5,85.7
"Ansonia School District","Ansonia High School","Non-High Needs",85.7,90.5,92.6,90.9,100.0
"Avon School District","Avon High School","High Needs",84.4,86.7,91.1,95.1,89.1
"Avon School District","Avon High School","Non-High Needs",97.3,98.3,97.7,99.1,98.0
"Berlin School District","Berlin High School","High Needs",86.0,88.9,86.3,85.2,83.6
"Berlin School District","Berlin High School","Non-High Needs",95.4,97.5,98.6,98.8,98.1
"Bethel School District","Bethel High School","High Needs",78.6,86.0,76.7,84.0,89.0
"Bethel School District","Bethel High School","Non-High Needs",97.5,97.8,98.8,96.9,99.3
"Bloomfield School District","Bloomfield High School","High Needs",66.7,76.0,86.5,90.5,80.2
"Bloomfield School District","Bloomfield High School","Non-High Needs",79.8,94.1,98.0,89.5,100.0
"Bloomfield School District","Global Experience Magnet School","High Needs","N/A","N/A",94.1,94.1,100.0
"Bloomfield School District","Global Experience Magnet School","Non-High Needs","N/A","N/A",100.0,100.0,"*"
"Bloomfield School District","Learning Academy at Bloomfield","High Needs","N/A","N/A","*","*",92.3
"Bloomfield School District","Learning Academy at Bloomfield","Non-High Needs","N/A","N/A","*","*","*"
"Bloomfield School District","The Big Picture High School","High Needs","*","*","N/A","N/A","N/A"
"Bloomfield School District","The Big Picture High School","Non-High Needs","*","*","N/A","N/A","N/A"
"Bolton School District","Bolton High School","High Needs",77.8,53.3,94.7,68.8,89.5
"Bolton School District","Bolton High School","Non-High Needs",96.9,100.0,98.4,100.0,100.0
"Branford School District","Branford High School","High Needs",82.3,93.8,87.7,85.7,81.7
"Branford School District","Branford High School","Non-High Needs",98.6,95.9,95.2,96.8,96.4
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","High Needs","N/A","N/A","N/A","N/A","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Non-High Needs","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","Bassick High School","High Needs",61.1,"*",59.0,62.2,59.8
"Bridgeport School District","Bassick High School","Non-High Needs","*","N/A","*","N/A","*"
"Bridgeport School District","Central High School","High Needs",74.2,78.4,77.5,80.7,76.8
"Bridgeport School District","Central High School","Non-High Needs",69.4,"N/A","*","*","*"
"Bridgeport School District","Harding High School","High Needs",45.5,66.3,60.7,"*",54.1
