"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","20","20","22","27","29","38","44","50","0","0","0","0","0","0","250"
"0025111","0020011","Ansonia School District","Ansonia Middle School","87","0","0","0","0","0","0","0","171","188","0","0","0","0","446"
"0020311","0020011","Ansonia School District","Mead School","12","85","86","66","82","87","86","91","0","0","0","0","0","0","595"
"0020811","0020011","Ansonia School District","Prendergast School","0","120","105","107","90","82","97","87","0","0","0","0","0","0","688"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","179","152","146","120","597"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","0","0","0","0","0","0","0","0","0","0","*","13","12","*","35"
"2449514","2440014","Area Cooperative Educational Services","Village School","9","*","7","11","10","17","20","16","16","25","0","*","0","0","135"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","*","13","18","30","27","14","28","26","0","0","0","0","167"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","63","66","72","75","75","75","74","64","68","0","0","0","0","632"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","253","245","228","0","0","0","0","726"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","0","0","0","0","0","0","0","*","8","*","7","9","8","38"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","0","11","16","23","63","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","23","24","27","21","95"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","9","*","*","25","42"
"0030111","0030011","Ashford School District","Ashford School","41","42","36","39","33","44","39","37","50","36","0","0","0","0","397"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","45","0","0","0","0","0","0","0","0","0","0","0","0","0","45"
"0040411","0040011","Avon School District","Pine Grove School","*","*","137","119","126","109","0","0","0","0","0","0","0","0","599"
"0040311","0040011","Avon School District","Roaring Brook School","0","86","95","106","106","104","0","0","0","0","0","0","0","0","497"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","272","278","0","0","0","0","0","0","550"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","269","276","0","0","0","0","545"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","254","289","250","245","1038"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","28","0","0","0","0","0","0","0","0","0","0","0","0","0","28"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","19","33","30","33","47","47","46","0","0","0","0","0","0","255"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","0","0","0","0","0","*","*","0","0","0","0","0","0","0","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","57","67","78","78","79","60","84","0","0","0","0","0","0","0","503"
"0070511","0070011","Berlin School District","Mary E. Griswold School","0","60","84","71","85","88","109","0","0","0","0","0","0","0","497"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","35","23","45","35","43","57","0","0","0","0","0","0","0","238"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","0","0","0","0","0","0","214","245","213","0","0","0","0","672"
"0076111","0070011","Berlin School District","Berlin High School","0","0","0","0","0","0","0","0","0","0","235","217","240","261","953"
"0080111","0080011","Bethany School District","Bethany Community School","11","40","44","53","59","52","61","63","0","0","0","0","0","0","383"
"0090111","0090011","Bethel School District","Frank A. Berry School","115","99","97","123","127","0","0","0","0","0","0","0","0","0","561"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","97","94","103","126","0","0","0","0","0","0","0","0","0","420"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","0","0","0","0","212","214","0","0","0","0","0","0","0","426"
"0095111","0090011","Bethel School District","Bethel Middle School","0","0","0","0","0","0","0","195","245","218","0","0","0","0","658"
"0096111","0090011","Bethel School District","Bethel High School","0","0","0","0","0","0","0","0","0","0","242","203","201","251","897"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","260","62","0","0","0","0","0","0","0","0","0","0","0","0","322"
"0110611","0110011","Bloomfield School District","Laurel School","0","103","124","108","0","0","0","0","0","0","0","0","0","0","335"
"0110511","0110011","Bloomfield School District","Metacomet School","0","0","0","0","143","111","0","0","0","0","0","0","0","0","254"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","0","0","0","0","0","119","101","0","0","0","0","0","0","220"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","0","0","0","0","0","0","0","31","35","34","34","30","28","26","218"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","0","0","0","0","0","0","0","98","95","0","0","0","0","193"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","0","0","0","0","0","0","0","0","0","134","117","146","119","516"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","0","0","0","0","0","0","0","0","0","0","0","*","*","*","10"
"0120111","0120011","Bolton School District","Bolton Center School","10","36","46","59","56","55","68","62","66","49","0","0","0","0","507"
"0126111","0120011","Bolton School District","Bolton High School","0","0","0","0","0","0","0","0","0","0","70","81","68","88","307"
"0130111","0130011","Bozrah School District","Fields Memorial School","21","9","21","19","22","21","30","21","16","21","0","0","0","0","201"
"0148011","0140011","Branford School District","Indian Neck School","40","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"0141611","0140011","Branford School District","John B. Sliney School","29","50","59","72","72","67","0","0","0","0","0","0","0","0","349"
"0141511","0140011","Branford School District","Mary R. Tisko School","16","63","64","71","83","69","0","0","0","0","0","0","0","0","366"
"0141411","0140011","Branford School District","Mary T. Murphy School","30","72","81","72","83","86","0","0","0","0","0","0","0","0","424"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","0","0","0","0","0","0","224","228","217","243","0","0","0","0","912"
"0146111","0140011","Branford School District","Branford High School","0","0","0","0","0","0","0","0","0","0","212","213","239","250","914"
"0140211","0140011","Branford School District","Branford High School Horizons Program","0","0","0","0","0","0","0","0","0","0","*","*","16","12","40"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","34","35","38","40","39","0","0","0","0","0","0","0","0","0","186"
"0150111","0150011","Bridgeport School District","Barnum School","42","80","95","74","58","61","65","42","45","56","0","0","0","0","618"
"0150211","0150011","Bridgeport School District","Beardsley School","36","48","51","61","43","52","35","28","0","0","0","0","0","0","354"
"0150311","0150011","Bridgeport School District","Black Rock School","48","64","62","47","49","48","41","32","32","46","0","0","0","0","469"
"0154011","0150011","Bridgeport School District","Blackham School","35","106","124","110","127","122","101","100","149","157","0","0","0","0","1131"
"0150411","0150011","Bridgeport School District","Bryant School","38","45","62","47","40","60","55","38","0","0","0","0","0","0","385"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","35","130","117","112","137","140","128","123","138","136","0","0","0","0","1196"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","18","41","45","44","44","49","43","38","36","35","0","0","0","0","393"
"0150511","0150011","Bridgeport School District","Columbus School","52","110","135","117","125","92","76","44","53","48","0","0","0","0","852"
"0153911","0150011","Bridgeport School District","Cross School","30","46","43","46","48","34","43","26","33","48","0","0","0","0","397"
"0154111","0150011","Bridgeport School District","Dunbar School","70","33","44","45","41","43","40","16","36","48","0","0","0","0","416"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","17","94","98","88","87","87","82","82","81","78","0","0","0","0","794"
"0151211","0150011","Bridgeport School District","Hallen School","18","47","48","59","44","48","24","27","0","0","0","0","0","0","315"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","94","47","45","46","48","44","45","44","48","45","0","0","0","0","506"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","47","64","71","69","66","56","55","59","82","80","0","0","0","0","649"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","18","74","91","82","87","97","83","92","119","93","0","0","0","0","836"
"0151711","0150011","Bridgeport School District","Park City Magnet School","31","59","57","48","56","54","55","45","39","39","0","0","0","0","483"
"0152511","0150011","Bridgeport School District","Read School","36","88","114","109","111","92","77","87","88","89","0","0","0","0","891"
"0152611","0150011","Bridgeport School District","Roosevelt School","36","70","86","91","83","61","60","34","53","49","0","0","0","0","623"
"0154411","0150011","Bridgeport School District","Skane Center","224","0","0","0","0","0","0","0","0","0","0","0","0","0","224"
"0153011","0150011","Bridgeport School District","Waltersville School","18","66","64","59","56","57","48","42","36","57","0","0","0","0","503"
"0153611","0150011","Bridgeport School District","Winthrop School","18","73","78","68","71","84","74","64","71","72","0","0","0","0","673"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","0","*","*","7","7","6","8","*","*","9","*","*","*","*","61"
"0154211","0150011","Bridgeport School District","Curiale School","0","81","65","72","76","74","64","74","90","102","0","0","0","0","698"
"0150711","0150011","Bridgeport School District","Edison School","0","35","48","39","47","49","33","19","0","0","0","0","0","0","270"
"0151111","0150011","Bridgeport School District","Hall School","0","36","36","34","37","42","30","25","0","0","0","0","0","0","240"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","0","44","42","49","45","46","42","42","46","52","0","0","0","0","408"
"0151311","0150011","Bridgeport School District","Hooker School","0","32","43","36","38","48","42","30","41","41","0","0","0","0","351"
"0152011","0150011","Bridgeport School District","Madison School","0","77","78","67","69","82","77","62","0","0","0","0","0","0","512"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","0","46","48","50","50","49","52","56","53","56","0","0","0","0","460"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","0","0","0","0","0","0","0","0","0","0","151","145","134","64","494"
