"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","28","16","23","23","27","28","37","43","0","0","0","0","0","0","225"
"0025111","0020011","Ansonia School District","Ansonia Middle School","85","0","0","0","0","0","0","0","183","173","0","0","0","0","441"
"0020311","0020011","Ansonia School District","Mead School","15","69","79","82","72","90","86","87","0","0","0","0","0","0","580"
"0020811","0020011","Ansonia School District","Prendergast School","0","111","106","94","94","88","83","89","0","0","0","0","0","0","665"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","157","176","135","148","616"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","0","0","0","0","0","0","0","0","0","0","*","10","9","*","31"
"0020411","0020011","Ansonia School District","P.A.C.E. - PM (Positive And Creative Education - PM)","0","0","0","0","0","0","0","0","0","0","*","*","*","*","7"
"2449514","2440014","Area Cooperative Educational Services","Village School","*","8","*","*","10","14","19","21","15","15","*","0","*","0","118"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","*","18","15","20","33","24","26","25","0","0","0","0","168"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","63","69","70","76","75","75","68","71","64","0","0","0","0","631"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","238","256","238","0","0","0","0","732"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","0","0","0","0","0","0","0","*","*","7","*","8","14","40"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","0","15","15","16","69","115"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","20","25","24","33","102"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","9","*","*","22","41"
"0030111","0030011","Ashford School District","Ashford School","47","35","42","35","44","31","43","40","39","50","0","0","0","0","406"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","56","0","0","0","0","0","0","0","0","0","0","0","0","0","56"
"0040411","0040011","Avon School District","Pine Grove School","0","99","123","155","123","124","0","0","0","0","0","0","0","0","624"
"0040311","0040011","Avon School District","Roaring Brook School","0","99","90","102","107","118","0","0","0","0","0","0","0","0","516"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","219","278","0","0","0","0","0","0","497"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","283","275","0","0","0","0","558"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","251","239","281","253","1024"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","23","0","0","0","0","0","0","0","0","0","0","0","0","0","23"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","15","23","31","31","36","46","46","0","0","0","0","0","0","228"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","0","0","0","0","0","0","*","*","0","0","0","0","0","0","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","60","63","68","76","77","79","59","0","0","0","0","0","0","0","482"
