"school_code","district_code","district","school","free_reduced_price_meal_eligibility","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Eligible For Free Lunch","8.1","3.4","6.1","*","10.1"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Not Eligible For Lunch","","","","*",""
"2795113","2790013","Amistad Academy District","Amistad Academy","Eligible For Free Lunch","3.0","*","4.8","6.7","7.1"
"2795113","2790013","Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","0.0","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","0.0","0.0","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Eligible For Free Lunch","*","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Not Eligible For Lunch","0.0","*","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Eligible For Reduced Lunch","*","*","*","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Eligible For Free Lunch","17.8","22.1","23.6","27.7","22.1"
"0026111","0020011","Ansonia School District","Ansonia High School","Not Eligible For Lunch","5.8","18.6","*","16.0","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Eligible For Reduced Lunch","7.5","11.3","*","14.3","*"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Eligible For Free Lunch","21.7","20.2","16.6","21.1","17.9"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Not Eligible For Lunch","*","*","8.8","*","6.7"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Eligible For Reduced Lunch","*","*","12.2","*","16.3"
"0020311","0020011","Ansonia School District","Mead School","Eligible For Free Lunch","15.9","16.1","*","20.2","19.2"
"0020311","0020011","Ansonia School District","Mead School","Not Eligible For Lunch","*","*","*","*","*"
"0020311","0020011","Ansonia School District","Mead School","Eligible For Reduced Lunch","*","*","0.0","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Eligible For Free Lunch","","","","80.0","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Not Eligible For Lunch","","","","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Eligible For Reduced Lunch","","","","*",""
"0020811","0020011","Ansonia School District","Prendergast School","Eligible For Free Lunch","12.7","14.4","11.2","14.3","12.0"
"0020811","0020011","Ansonia School District","Prendergast School","Not Eligible For Lunch","6.2","*","*","*","4.1"
"0020811","0020011","Ansonia School District","Prendergast School","Eligible For Reduced Lunch","10.2","*","*","*","7.6"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Eligible For Free Lunch","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Not Eligible For Lunch","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Eligible For Reduced Lunch","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Eligible For Free Lunch","41.5","45.1","47.1","44.3","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Not Eligible For Lunch","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Eligible For Reduced Lunch","*","*","*","*",""
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Eligible For Free Lunch","14.0","17.0","20.7","19.6","16.0"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Not Eligible For Lunch","*","*","5.7","*","*"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Eligible For Reduced Lunch","*","*","9.1","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Eligible For Free Lunch","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Not Eligible For Lunch","24.7","*","31.9","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Eligible For Reduced Lunch","*","*","*","*",""
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Eligible For Free Lunch","35.5","41.1","54.1","50.0","*"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Not Eligible For Lunch","*","*","*","*","*"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Eligible For Reduced Lunch","*","*","*","*",""
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Eligible For Free Lunch","71.6","74.7","72.0","77.6","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Not Eligible For Lunch","*","*","*","*","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Eligible For Reduced Lunch","*","*","*","*",""
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Eligible For Free Lunch","*","*","21.6","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Not Eligible For Lunch","*","*","*","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Eligible For Reduced Lunch","*","*","*","*",""
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Eligible For Free Lunch","12.6","*","13.6","13.3","13.8"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Not Eligible For Lunch","4.7","8.4","10.2","5.2","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Eligible For Reduced Lunch","11.1","*","10.3","12.7","*"
"0030111","0030011","Ashford School District","Ashford School","Eligible For Free Lunch","*","16.9","*","*","*"
"0030111","0030011","Ashford School District","Ashford School","Not Eligible For Lunch","7.4","4.6","5.2","5.5","3.9"
"0030111","0030011","Ashford School District","Ashford School","Eligible For Reduced Lunch","*","0.0","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*"
"0046111","0040011","Avon School District","Avon High School","Not Eligible For Lunch","*","3.7","2.9","4.0","4.5"
"0046111","0040011","Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","Eligible For Free Lunch","*","*","*","*","*"
"0045111","0040011","Avon School District","Avon Middle School","Not Eligible For Lunch","*","*","4.8","*","2.5"
"0045111","0040011","Avon School District","Avon Middle School","Eligible For Reduced Lunch","*","*","*","*","*"
"0040411","0040011","Avon School District","Pine Grove School","Eligible For Free Lunch","*","*","*","0.0","*"
"0040411","0040011","Avon School District","Pine Grove School","Not Eligible For Lunch","4.7","4.7","4.3","0.0","*"
"0040411","0040011","Avon School District","Pine Grove School","Eligible For Reduced Lunch","*","*","*","","*"
"0040311","0040011","Avon School District","Roaring Brook School","Eligible For Free Lunch","*","*","*","*","*"
"0040311","0040011","Avon School District","Roaring Brook School","Not Eligible For Lunch","2.9","4.0","4.9","3.5","5.3"
"0040311","0040011","Avon School District","Roaring Brook School","Eligible For Reduced Lunch","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Eligible For Free Lunch","*","*","*","*","*"
"0040511","0040011","Avon School District","Thompson Brook School","Not Eligible For Lunch","4.7","5.6","*","4.7","1.9"
"0040511","0040011","Avon School District","Thompson Brook School","Eligible For Reduced Lunch","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Eligible For Free Lunch","*","*","*","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Not Eligible For Lunch","*","4.3","3.8","*","*"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","Eligible For Reduced Lunch","*","*","*","*","*"
"0050211","0050011","Barkhamsted School District","Bridges at Barkhamsted Elementary School","Not Eligible For Lunch","","","","","*"
"0076111","0070011","Berlin School District","Berlin High School","Eligible For Free Lunch","*","*","*","*","*"
"0076111","0070011","Berlin School District","Berlin High School","Not Eligible For Lunch","5.1","5.0","6.0","8.4","3.7"
"0076111","0070011","Berlin School District","Berlin High School","Eligible For Reduced Lunch","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Eligible For Free Lunch","*","*","*","*","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Not Eligible For Lunch","6.0","6.0","2.6","1.8","*"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","Eligible For Reduced Lunch","*","*","*","*","*"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Eligible For Free Lunch","*","*","*","*","14.8"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Not Eligible For Lunch","1.8","2.5","*","*","1.9"
"0070411","0070011","Berlin School District","Emma Hart Willard School","Eligible For Reduced Lunch","*","*","*","*","0.0"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Eligible For Free Lunch","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Not Eligible For Lunch","*","*","*","*","*"
"0070511","0070011","Berlin School District","Mary E. Griswold School","Eligible For Reduced Lunch","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Eligible For Free Lunch","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Not Eligible For Lunch","*","*","*","*","*"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","Eligible For Reduced Lunch","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Eligible For Free Lunch","*","*","*","*","*"
"0080111","0080011","Bethany School District","Bethany Community School","Not Eligible For Lunch","*","4.8","4.5","*","3.6"
"0080111","0080011","Bethany School District","Bethany Community School","Eligible For Reduced Lunch","*","*","*","*","*"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Eligible For Free Lunch","*","*","*","*","9.6"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Not Eligible For Lunch","4.7","*","2.7","3.4","3.0"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","Eligible For Reduced Lunch","*","0.0","*","*","0.0"
"0096111","0090011","Bethel School District","Bethel High School","Eligible For Free Lunch","21.0","*","*","*","*"
"0096111","0090011","Bethel School District","Bethel High School","Not Eligible For Lunch","5.7","6.5","8.3","3.4","6.6"
"0096111","0090011","Bethel School District","Bethel High School","Eligible For Reduced Lunch","13.0","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Eligible For Free Lunch","*","*","*","*","*"
"0095111","0090011","Bethel School District","Bethel Middle School","Not Eligible For Lunch","4.8","6.3","2.8","4.5","3.1"
"0095111","0090011","Bethel School District","Bethel Middle School","Eligible For Reduced Lunch","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Eligible For Free Lunch","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Not Eligible For Lunch","*","*","*","*","*"
"0090111","0090011","Bethel School District","Frank A. Berry School","Eligible For Reduced Lunch","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Eligible For Free Lunch","*","*","*","*","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Not Eligible For Lunch","2.2","5.1","12.9","*","13.9"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Eligible For Reduced Lunch","*","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Eligible For Free Lunch","13.2","9.6","11.7","17.6","13.1"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Not Eligible For Lunch","7.1","*","*","*","*"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch","13.2","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Eligible For Free Lunch","7.0","5.7","*","6.9","6.6"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Not Eligible For Lunch","0.0","*","0.0","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Eligible For Reduced Lunch","0.0","*","0.0","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Eligible For Free Lunch","13.7","10.3","*","10.7","6.3"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Not Eligible For Lunch","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Eligible For Reduced Lunch","*","*","0.0","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch","","*","13.8","*","*"
