"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0010111","0010011","Andover School District","Andover Elementary School","25","25","31","24","36","42","51","41","0","0","0","0","0","0","275"
"0025111","0020011","Ansonia School District","Ansonia Middle School","103","0","0","0","0","0","0","0","186","209","0","0","0","0","498"
"0020311","0020011","Ansonia School District","Mead School","0","83","75","75","86","93","92","93","0","0","0","0","0","0","597"
"0020811","0020011","Ansonia School District","Prendergast School","0","114","117","101","84","90","88","86","0","0","0","0","0","0","680"
"0026111","0020011","Ansonia School District","Ansonia High School","0","0","0","0","0","0","0","0","0","0","159","168","123","134","584"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","0","0","0","0","0","0","0","0","0","0","10","17","*","*","40"
"2449514","2440014","Area Cooperative Educational Services","Village School","6","6","9","12","17","23","14","19","25","18","*","0","0","*","151"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","0","*","13","*","21","20","23","24","25","21","0","0","0","0","160"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","0","62","66","72","75","75","75","72","70","64","0","0","0","0","631"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","0","0","0","0","0","0","0","246","235","232","0","0","0","0","713"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","0","0","0","0","0","0","0","0","6","*","8","10","*","8","39"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","0","0","0","0","0","0","0","0","0","0","12","19","17","65","113"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","0","0","0","0","0","0","0","0","0","0","19","24","19","28","90"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","0","0","0","0","0","0","0","0","0","0","*","*","9","24","42"
"0030111","0030011","Ashford School District","Ashford School","49","37","43","33","43","42","38","50","32","48","0","0","0","0","415"
"0040111","0040011","Avon School District","Avon Public Schools Pre-K","48","0","0","0","0","0","0","0","0","0","0","0","0","0","48"
"0040411","0040011","Avon School District","Pine Grove School","0","109","100","112","109","146","0","0","0","0","0","0","0","0","576"
"0040311","0040011","Avon School District","Roaring Brook School","0","92","110","107","106","131","0","0","0","0","0","0","0","0","546"
"0040511","0040011","Avon School District","Thompson Brook School","0","0","0","0","0","0","276","276","0","0","0","0","0","0","552"
"0045111","0040011","Avon School District","Avon Middle School","0","0","0","0","0","0","0","0","275","273","0","0","0","0","548"
"0046111","0040011","Avon School District","Avon High School","0","0","0","0","0","0","0","0","0","0","291","259","250","251","1051"
"0058011","0050011","Barkhamsted School District","Shared Services Integrated Preschool","22","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","0","33","26","35","47","48","46","60","0","0","0","0","0","0","295"
"0070411","0070011","Berlin School District","Emma Hart Willard School","51","74","81","73","59","81","85","0","0","0","0","0","0","0","504"
"0070511","0070011","Berlin School District","Mary E. Griswold School","0","92","72","84","88","110","101","0","0","0","0","0","0","0","547"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","0","18","47","33","39","55","33","0","0","0","0","0","0","0","225"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","0","0","0","0","0","0","0","244","215","243","0","0","0","0","702"
"0076111","0070011","Berlin School District","Berlin High School","0","0","0","0","0","0","0","0","0","0","215","239","246","218","918"
"0080111","0080011","Bethany School District","Bethany Community School","15","43","49","59","51","58","63","69","0","0","0","0","0","0","407"
"0090111","0090011","Bethel School District","Frank A. Berry School","116","95","115","121","99","0","0","0","0","0","0","0","0","0","546"
"0090411","0090011","Bethel School District","Anna H. Rockwell School","0","94","99","122","98","0","0","0","0","0","0","0","0","0","413"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","0","0","0","0","0","205","181","0","0","0","0","0","0","0","386"
"0095111","0090011","Bethel School District","Bethel Middle School","0","0","0","0","0","0","0","240","210","245","0","0","0","0","695"
"0096111","0090011","Bethel School District","Bethel High School","0","0","0","0","0","0","0","0","0","0","211","211","248","219","889"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","265","56","0","0","0","0","0","0","0","0","0","0","0","0","321"
"0110611","0110011","Bloomfield School District","Laurel School","0","99","103","143","0","0","0","0","0","0","0","0","0","0","345"
"0110511","0110011","Bloomfield School District","Metacomet School","0","0","0","0","125","123","0","0","0","0","0","0","0","0","248"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","0","0","0","0","0","0","114","94","0","0","0","0","0","0","208"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","0","0","0","0","0","0","0","35","34","34","32","28","32","25","220"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","0","0","0","0","0","0","0","0","107","107","0","0","0","0","214"
"0116111","0110011","Bloomfield School District","Bloomfield High School","0","0","0","0","0","0","0","0","0","0","133","150","125","130","538"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","0","0","0","0","0","0","0","0","0","0","*","*","*","*","13"
"0120111","0120011","Bolton School District","Bolton Center School","9","41","55","54","58","66","63","65","52","57","0","0","0","0","520"
"0126111","0120011","Bolton School District","Bolton High School","0","0","0","0","0","0","0","0","0","0","85","70","84","79","318"
"0130111","0130011","Bozrah School District","Fields Memorial School","16","14","20","25","21","31","20","17","22","23","0","0","0","0","209"
"0148011","0140011","Branford School District","Indian Neck School","39","0","0","0","0","0","0","0","0","0","0","0","0","0","39"
"0141611","0140011","Branford School District","John B. Sliney School","25","55","68","73","63","71","0","0","0","0","0","0","0","0","355"
"0141511","0140011","Branford School District","Mary R. Tisko School","16","63","74","72","73","90","0","0","0","0","0","0","0","0","388"
"0141411","0140011","Branford School District","Mary T. Murphy School","32","76","67","84","84","70","0","0","0","0","0","0","0","0","413"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","0","0","0","0","0","0","219","213","246","238","0","0","0","0","916"
"0146111","0140011","Branford School District","Branford High School","0","0","0","0","0","0","0","0","0","0","215","252","255","239","961"
"0140211","0140011","Branford School District","Branford High School Horizons Program","0","0","0","0","0","0","0","0","0","0","0","*","6","*","9"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","33","39","39","39","0","0","0","0","0","0","0","0","0","0","150"
"0150111","0150011","Bridgeport School District","Barnum School","31","97","87","67","66","83","57","41","58","48","0","0","0","0","635"
"0150211","0150011","Bridgeport School District","Beardsley School","51","46","56","47","56","39","37","38","0","0","0","0","0","0","370"
