"category","Count","SPI","Target","Achieved","type","school_code","year"
"Black or African American ","",".",".","","CMT","0026111","201314"
"Hispanic or Latino ","",".",".","","CMT","0026111","201314"
"English Language Learners ","",".",". ","","CMT","0026111","201314"
"","","","","","CMT","0026111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",".","","CMT","0026111","201314"
"Students with Disabilities ","",".",".","","CMT","0026111","201314"
"High Needs ","",".",".","","CMT","0026111","201314"
"Black or African American ","",".",".","","CMT","0046111","201314"
"Hispanic or Latino ","",".",".","","CMT","0046111","201314"
"English Language Learners ","",".",". ","","CMT","0046111","201314"
"","","","","","CMT","0046111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",".","","CMT","0046111","201314"
"Students with Disabilities ","",".",".","","CMT","0046111","201314"
"High Needs ","",".",".","","CMT","0046111","201314"
"Black or African American ","",".",".","","CMT","0076111","201314"
"Hispanic or Latino ","",".",".","","CMT","0076111","201314"
"English Language Learners ","",".",". ","","CMT","0076111","201314"
"","","","","","CMT","0076111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",".","","CMT","0076111","201314"
"Students with Disabilities ","",".",".","","CMT","0076111","201314"
"High Needs ","",".",".","","CMT","0076111","201314"
"Black or African American ","",".",".","","CMT","0096111","201314"
"Hispanic or Latino ","",".",".","","CMT","0096111","201314"
"English Language Learners ","",".",". ","","CMT","0096111","201314"
"","","","","","CMT","0096111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",".","","CMT","0096111","201314"
"Students with Disabilities ","",".",".","","CMT","0096111","201314"
"High Needs ","",".",".","","CMT","0096111","201314"
"Black or African American ","",".",".","","CMT","0116111","201314"
"Hispanic or Latino ","",".",".","","CMT","0116111","201314"
"English Language Learners ","",".",". ","","CMT","0116111","201314"
"","","","","","CMT","0116111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",".","","CMT","0116111","201314"
"Students with Disabilities ","",".",".","","CMT","0116111","201314"
"High Needs ","",".",".","","CMT","0116111","201314"
"Black or African American ","39 ","83.3",". ","n/a","CMT","0116311","201314"
"Hispanic or Latino ","<20 ",".",".","","CMT","0116311","201314"
"English Language Learners ","",".",".","","CMT","0116311","201314"
"Eligible for Free or Reduced-Price Meals ","41 ","76.9",". ","n/a","CMT","0116311","201314"
"Students with Disabilities ","<20 ",".",".","","CMT","0116311","201314"
"High Needs ","41 ","76.9",". ","n/a","CMT","0116311","201314"
"School ","93 ","82.5",". ","n/a","CMT","0116311","201314"
"Black or African American ","",".",".","","CMT","0116411","201314"
"Hispanic or Latino ","",".",".","","CMT","0116411","201314"
"English Language Learners ","",".",". ","","CMT","0116411","201314"
"","","","","","CMT","0116411","201314"
"Eligible for Free or Reduced-Price Meals ","",".",".","","CMT","0116411","201314"
"Students with Disabilities ","",".",".","","CMT","0116411","201314"
"High Needs ","",".",".","","CMT","0116411","201314"
"Black or African American ","",".",".","","CMT","0126111","201314"
"Hispanic or Latino ","",".",".","","CMT","0126111","201314"
"English Language Learners ","",".",". ","","CMT","0126111","201314"
"","","","","","CMT","0126111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",".","","CMT","0126111","201314"
"Students with Disabilities ","",".",".","","CMT","0126111","201314"
"High Needs ","",".",".","","CMT","0126111","201314"
"Black or African American ","",".",".","","CMT","0146111","201314"
"Hispanic or Latino ","",".",".","","CMT","0146111","201314"
"English Language Learners ","",".",". ","","CMT","0146111","201314"
"","","","","","CMT","0146111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",".","","CMT","0146111","201314"
"Students with Disabilities ","",".",".","","CMT","0146111","201314"
"High Needs ","",".",".","","CMT","0146111","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CMT","0150611","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CMT","0150611","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CMT","0150611","201314"
"Eligible for Free or Reduced-Price Meals ","N/A ","N/A","N/A ","N/A","CMT","0150611","201314"
"Students with Disabilities ","N/A ","N/A","N/A ","N/A","CMT","0150611","201314"
"High Needs ","N/A ","N/A","N/A ","N/A","CMT","0150611","201314"
"School ","N/A ","N/A","N/A ","N/A","CMT","0150611","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CMT","0150811","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CMT","0150811","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CMT","0150811","201314"
"Eligible for Free or Reduced-Price Meals ","N/A ","N/A","N/A ","N/A","CMT","0150811","201314"
"Students with Disabilities ","N/A ","N/A","N/A ","N/A","CMT","0150811","201314"
"High Needs ","N/A ","N/A","N/A ","N/A","CMT","0150811","201314"
"School ","N/A ","N/A","N/A ","N/A","CMT","0150811","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CMT","0151511","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CMT","0151511","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CMT","0151511","201314"
"Eligible for Free or Reduced-Price Meals ","N/A ","N/A","N/A ","N/A","CMT","0151511","201314"
"Students with Disabilities ","N/A ","N/A","N/A ","N/A","CMT","0151511","201314"
"High Needs ","N/A ","N/A","N/A ","N/A","CMT","0151511","201314"
"School ","N/A ","N/A","N/A ","N/A","CMT","0151511","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CMT","0151611","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CMT","0151611","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CMT","0151611","201314"
