year,white_not_of_hispanic_origin,asian,total,hispanic_latino_of_any_race,district,oth_total,other,black,not_reported,white,oth_tot_check,tot_check,native_hawaiian_or_other_pacific_islander,two_or_more_races,hispanic_latino,black_not_of_hispanic_origin,district_code,school_code,black_or_african_american,school,american_indian,american_indian_or_alaska_native,hispanic,drg
2007-08,370171.0,16130.0,570852.0,0.0,,15469.0,853.0,76189.0,0.0,370171.0,0.0,14616.0,0.0,0.0,92893.0,76189.0,1365272750,1368483050,0.0,,853.0,0.0,92893.0,
2008-09,363734.0,17680.0,567053.0,0.0,,15940.0,851.0,75016.0,0.0,363734.0,0.0,15089.0,0.0,0.0,94683.0,75016.0,1396512949,1399850649,0.0,,851.0,0.0,94683.0,
2009-10,357654.0,18578.0,563829.0,0.0,,15845.0,888.0,74512.0,0.0,357654.0,0.0,14957.0,0.0,0.0,97240.0,74512.0,1403833117,1407305817,0.0,,888.0,0.0,97240.0,
2010-11,0.0,21128.0,560319.0,105690.0,,17976.0,7461.0,71474.0,0.0,344051.0,0.0,10515.0,118.0,6613.0,0.0,0.0,1393023003,1396514203,71474.0,,0.0,730.0,105690.0,
2011-12,0.0,21931.0,554343.0,108531.0,,18711.0,8524.0,70087.0,0.0,335083.0,0.0,10187.0,107.0,7788.0,0.0,0.0,1383142911,1386639411,70087.0,,0.0,629.0,108531.0,
2012-13,0.0,22573.0,550918.0,112337.0,,19439.0,9435.0,69483.0,0.0,327086.0,0.0,10004.0,86.0,8855.0,0.0,0.0,1390172911,1393688911,69483.0,,0.0,494.0,112337.0,
2013-14,0.0,23520.0,546198.0,115218.0,,20147.0,10389.0,68696.0,0.0,318617.0,0.0,9758.0,35.0,10052.0,0.0,0.0,1410273089,1413773889,68696.0,,0.0,302.0,115218.0,
2014-15,0.0,24101.0,542454.0,119304.0,,21250.0,10819.0,68033.0,0.0,309766.0,0.0,10431.0,20.0,10467.0,0.0,0.0,1575444728,1579121328,68033.0,,0.0,332.0,119304.0,
2015-16,0.0,24556.0,537624.0,123320.0,,22426.0,11859.0,67041.0,0.0,300281.0,0.0,10567.0,38.0,11525.0,0.0,0.0,1698225674,1702044774,67041.0,,0.0,296.0,123320.0,
2016-17,0.0,25119.0,534857.0,127461.0,,23478.0,12590.0,66887.0,0.0,291912.0,0.0,10888.0,24.0,12188.0,0.0,0.0,1773056180,1776934780,66887.0,,0.0,378.0,127461.0,
