"",,,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Eligible for Free or Reduced-Price Meals",288,38.2,392,48.1,252,29.6,265,28.9,241,23.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible for Free or Reduced-Price Meals",167,24.6,263,36.1,283,36.2,252,30.4,239,27.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible for Free or Reduced-Price Meals","*","*","*","*","*","*","*","*","N/A","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible for Free or Reduced-Price Meals",138,32.2,82,20.8,44,12.4,42,11.1,40,10.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible for Free or Reduced-Price Meals",29,10.7,71,22.5,84,23.0,66,17.0,73,21.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible for Free or Reduced-Price Meals",20,4.7,10,2.3,9,2.1,20,4.5,26,5.7
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible for Free or Reduced-Price Meals","N/A","N/A","N/A","N/A","N/A","N/A",7,21.9,11,39.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible for Free or Reduced-Price Meals",9,1.7,9,1.9,7,1.5,11,2.2,16,3.3
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible for Free or Reduced-Price Meals","N/A","*","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible for Free or Reduced-Price Meals",63,40.4,31,20.8,28,17.4,22,12.9,36,17.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible for Free or Reduced-Price Meals",95,23.6,95,23.0,105,23.9,108,24.2,98,21.6
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible for Free or Reduced-Price Meals","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible for Free or Reduced-Price Meals",16,16.2,23,23.7,9,9.6,6,6.7,10,8.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Eligible for Free or Reduced-Price Meals",45,47.9,47,53.4,55,55.6,45,47.9,57,52.3
