"District","District Code","School","School Code","Special Education Status","Count","%"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Students with Disabilities",45,23.9
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Students with Disabilities",75,33.5
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Students with Disabilities",26,20.3
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Students with Disabilities","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Students with Disabilities",7,7.8
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Students with Disabilities",15,12.1
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Students with Disabilities",14,18.2
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Students with Disabilities",11,12.6
"Bristol School District","=""0170011""","South Side School","=""0171111""","Students with Disabilities",9,10.8
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Students with Disabilities",20,15.5
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Students with Disabilities","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Students with Disabilities",33,31.1
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Students with Disabilities",15,16.9
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Students with Disabilities","N/A","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Students with Disabilities","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Students with Disabilities",12,8.1
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Students with Disabilities",19,16.8
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Students with Disabilities","N/A","N/A"
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","Students with Disabilities","N/A","N/A"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Students with Disabilities","N/A","N/A"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Students with Disabilities","N/A","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Students with Disabilities","N/A","N/A"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Students with Disabilities","N/A","N/A"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Students with Disabilities",84,35.9
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Students with Disabilities",35,27.6
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Students with Disabilities","N/A","N/A"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Students with Disabilities",25,28.7
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Students with Disabilities",28,25.0
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Students with Disabilities",14,12.5
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Students with Disabilities",10,11.9
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Students with Disabilities",53,52.0
