"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Count","%"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible for Free or Reduced-Price Meals",128,30.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible for Free or Reduced-Price Meals",42,17.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible for Free or Reduced-Price Meals",23,5.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible for Free or Reduced-Price Meals",10,1.9
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible for Free or Reduced-Price Meals","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Eligible for Free or Reduced-Price Meals",7,20.6
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Eligible for Free or Reduced-Price Meals","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Eligible for Free or Reduced-Price Meals","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Eligible for Free or Reduced-Price Meals","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible for Free or Reduced-Price Meals",25,25.0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Eligible for Free or Reduced-Price Meals",22,25.6
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Eligible for Free or Reduced-Price Meals","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Eligible for Free or Reduced-Price Meals","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Eligible for Free or Reduced-Price Meals","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible for Free or Reduced-Price Meals",30,21.9
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Eligible for Free or Reduced-Price Meals",23,16.5
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Eligible for Free or Reduced-Price Meals","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Eligible for Free or Reduced-Price Meals","*","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","Eligible for Free or Reduced-Price Meals",7,9.1
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Eligible for Free or Reduced-Price Meals",22,25.6
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Eligible for Free or Reduced-Price Meals",26,21.5
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","Eligible for Free or Reduced-Price Meals","*","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Eligible for Free or Reduced-Price Meals","*","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Eligible for Free or Reduced-Price Meals",11,9.2
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Eligible for Free or Reduced-Price Meals","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Eligible for Free or Reduced-Price Meals","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Eligible for Free or Reduced-Price Meals",8,5.6
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Eligible for Free or Reduced-Price Meals",86,35.0
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Eligible for Free or Reduced-Price Meals",11,6.5
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Eligible for Free or Reduced-Price Meals",67,26.3
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""","Eligible for Free or Reduced-Price Meals","*","*"
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Eligible for Free or Reduced-Price Meals","*","*"
"Enfield School District","=""0490011""","Head Start Program","=""0498011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Eligible for Free or Reduced-Price Meals","*","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Eligible for Free or Reduced-Price Meals",56,20.3
