"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Count","%"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible for Free or Reduced-Price Meals",129,25.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible for Free or Reduced-Price Meals",78,20.3
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Eligible for Free or Reduced-Price Meals",95,22.1
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Eligible for Free or Reduced-Price Meals",12,4.0
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Eligible for Free or Reduced-Price Meals",12,9.2
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Eligible for Free or Reduced-Price Meals",6,4.1
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Eligible for Free or Reduced-Price Meals",42,17.6
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Eligible for Free or Reduced-Price Meals",21,10.4
"Bristol School District","=""0170011""","South Side School","=""0171111""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Eligible for Free or Reduced-Price Meals",108,30.5
