"District","District Code","School","School Code","Gender","Count","%"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Female",42,26.6
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Male",77,24.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Female",17,5.7
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Male",52,14.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",171,36.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",213,39.1
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Female",12,6.7
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Male",26,13.3
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Female",68,20.0
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Male",42,31.1
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Female","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Male","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Female",20,3.9
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Male",76,11.4
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Female","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Male","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Female",54,48.2
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Male",69,44.2
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Female",11,5.8
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Male",15,7.2
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Female","N/A","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",164,21.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",272,34.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Female",38,6.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Male",106,16.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Female","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Male","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Female",31,6.9
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Male",43,9.1
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Female",36,19.8
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Male",75,33.5
