district,school,free_reduced_price_meal_eligibility,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Eligible For Reduced Lunch,,,,,*,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,Bassick High School,Eligible For Free Lunch,48.2,58.4,62.6,60.6,61.5,0156111,Bassick High School,Bridgeport School District
Bridgeport School District,Bassick High School,Eligible For Reduced Lunch,*,*,*,*,*,0156111,Bassick High School,Bridgeport School District
Bridgeport School District,Bassick High School,Not Eligible For Lunch,*,*,,*,*,0156111,Bassick High School,Bridgeport School District
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Eligible For Free Lunch,,,,,92.5,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Eligible For Reduced Lunch,,,,,*,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,Central High School,Eligible For Free Lunch,78.4,76.7,80.2,76.2,76.0,0156211,Central High School,Bridgeport School District
Bridgeport School District,Central High School,Eligible For Reduced Lunch,78.0,90.0,*,90.5,*,0156211,Central High School,Bridgeport School District
Bridgeport School District,Central High School,Not Eligible For Lunch,*,*,*,,*,0156211,Central High School,Bridgeport School District
Bridgeport School District,Harding High School,Eligible For Free Lunch,65.3,59.9,69.6,54.0,56.7,0156311,Harding High School,Bridgeport School District
Bridgeport School District,Harding High School,Eligible For Reduced Lunch,*,69.6,*,*,*,0156311,Harding High School,Bridgeport School District
Bridgeport School District,Harding High School,Not Eligible For Lunch,*,*,,,,0156311,Harding High School,Bridgeport School District
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Eligible For Free Lunch,,,,,94.7,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Bridgeport School District
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Eligible For Reduced Lunch,,,,,*,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Bridgeport School District
Bristol School District,Bristol Central High School,Eligible For Free Lunch,71.0,57.1,67.3,70.1,69.1,0176111,Bristol Central High School,Bristol School District
Bristol School District,Bristol Central High School,Eligible For Reduced Lunch,86.8,77.3,82.4,82.5,89.3,0176111,Bristol Central High School,Bristol School District
Bristol School District,Bristol Central High School,Not Eligible For Lunch,93.8,95.0,92.1,92.6,94.6,0176111,Bristol Central High School,Bristol School District
Bristol School District,Bristol Eastern High School,Eligible For Free Lunch,67.1,61.2,73.0,71.4,78.4,0176211,Bristol Eastern High School,Bristol School District
Bristol School District,Bristol Eastern High School,Eligible For Reduced Lunch,86.2,79.4,80.6,86.8,87.9,0176211,Bristol Eastern High School,Bristol School District
Bristol School District,Bristol Eastern High School,Not Eligible For Lunch,93.2,88.6,90.0,95.3,97.8,0176211,Bristol Eastern High School,Bristol School District
Brookfield School District,Brookfield High School,Eligible For Free Lunch,*,*,*,*,*,0186111,Brookfield High School,Brookfield School District
Brookfield School District,Brookfield High School,Eligible For Reduced Lunch,*,*,*,*,*,0186111,Brookfield High School,Brookfield School District
Brookfield School District,Brookfield High School,Not Eligible For Lunch,97.5,97.2,*,96.6,97.9,0186111,Brookfield High School,Brookfield School District
Canton School District,Canton High School,Eligible For Free Lunch,*,*,*,*,*,0236111,Canton High School,Canton School District
Canton School District,Canton High School,Eligible For Reduced Lunch,,*,,*,*,0236111,Canton High School,Canton School District
Canton School District,Canton High School,Not Eligible For Lunch,*,*,94.5,*,97.6,0236111,Canton High School,Canton School District
Capital Preparatory Harbor School Inc. District,Capital Preparatory Harbor School Inc.,Eligible For Free Lunch,,,,,*,2970113,Capital Preparatory Harbor School Inc.,Capital Preparatory Harbor School Inc. District
Capitol Region Education Council,Academy of Aerospace and Engineering,Eligible For Free Lunch,,*,*,*,*,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Aerospace and Engineering,Eligible For Reduced Lunch,,*,*,*,*,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Aerospace and Engineering,Not Eligible For Lunch,,86.4,*,91.7,96.8,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Eligible For Free Lunch,,,,*,90.9,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Eligible For Reduced Lunch,,,,*,*,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Not Eligible For Lunch,,,,*,*,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Eligible For Free Lunch,76.9,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Eligible For Reduced Lunch,*,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Not Eligible For Lunch,82.8,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Eligible For Free Lunch,87.0,83.8,78.7,87.0,90.7,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Eligible For Reduced Lunch,*,*,*,*,*,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Not Eligible For Lunch,85.4,82.1,86.5,92.2,90.5,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Eligible For Free Lunch,,,92.0,,,,,
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Eligible For Reduced Lunch,,,*,,,,,
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Not Eligible For Lunch,,,*,,,,,
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Eligible For Free Lunch,85.0,91.4,96.0,88.9,97.4,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Eligible For Reduced Lunch,91.3,*,100.0,*,*,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Not Eligible For Lunch,100.0,97.8,94.1,100.0,100.0,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Eligible For Free Lunch,,,87.0,82.6,73.2,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Eligible For Reduced Lunch,,,*,*,*,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Not Eligible For Lunch,,,*,*,*,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,Eligible For Free Lunch,,,,,97.4,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,Eligible For Reduced Lunch,,,,,100.0,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,Not Eligible For Lunch,,,,,*,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Cheshire School District,Cheshire High School,Eligible For Free Lunch,*,*,88.0,*,*,0256111,Cheshire High School,Cheshire School District
Cheshire School District,Cheshire High School,Eligible For Reduced Lunch,*,*,*,*,*,0256111,Cheshire High School,Cheshire School District
Cheshire School District,Cheshire High School,Not Eligible For Lunch,98.6,97.9,99.1,*,98.2,0256111,Cheshire High School,Cheshire School District
Clinton School District,The Morgan School,Eligible For Free Lunch,*,*,*,71.9,*,0276111,The Morgan School,Clinton School District
Clinton School District,The Morgan School,Eligible For Reduced Lunch,*,*,*,*,*,0276111,The Morgan School,Clinton School District
Clinton School District,The Morgan School,Not Eligible For Lunch,91.7,90.4,95.4,96.6,96.1,0276111,The Morgan School,Clinton School District
Colchester School District,Bacon Academy,Eligible For Free Lunch,87.0,*,*,*,87.9,0286111,Bacon Academy,Colchester School District
Colchester School District,Bacon Academy,Eligible For Reduced Lunch,*,*,*,*,*,0286111,Bacon Academy,Colchester School District
Colchester School District,Bacon Academy,Not Eligible For Lunch,95.1,95.9,95.3,97.2,97.0,0286111,Bacon Academy,Colchester School District
Common Ground High School District,Common Ground High School,Eligible For Free Lunch,*,80.0,*,100.0,*,2686113,Common Ground High School,Common Ground High School District
Common Ground High School District,Common Ground High School,Eligible For Reduced Lunch,*,*,*,*,*,2686113,Common Ground High School,Common Ground High School District
Common Ground High School District,Common Ground High School,Not Eligible For Lunch,*,*,*,*,*,2686113,Common Ground High School,Common Ground High School District
Connecticut Technical High School System,A. I. Prince Technical High School,Eligible For Free Lunch,94.0,88.1,95.5,98.6,98.5,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,A. I. Prince Technical High School,Eligible For Reduced Lunch,89.3,92.6,92.6,100.0,*,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,A. I. Prince Technical High School,Not Eligible For Lunch,91.3,85.2,100.0,85.7,96.3,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Eligible For Free Lunch,94.2,97.3,91.2,95.6,96.9,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Eligible For Reduced Lunch,92.2,93.8,91.7,100.0,100.0,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Not Eligible For Lunch,100.0,97.3,94.3,93.3,97.3,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Eligible For Free Lunch,91.0,95.2,94.9,98.8,98.0,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Eligible For Reduced Lunch,100.0,88.5,*,*,*,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Not Eligible For Lunch,92.6,100.0,92.3,93.8,100.0,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Eligible For Free Lunch,90.6,82.2,90.5,89.3,91.1,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Eligible For Reduced Lunch,100.0,*,*,*,*,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Not Eligible For Lunch,*,*,*,*,*,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Eligible For Free Lunch,93.0,96.8,91.2,95.2,96.3,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Eligible For Reduced Lunch,87.0,*,100.0,*,*,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Not Eligible For Lunch,97.3,98.5,96.0,96.4,97.4,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Eligible For Free Lunch,100.0,100.0,100.0,100.0,95.8,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Eligible For Reduced Lunch,95.8,*,90.5,*,*,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Not Eligible For Lunch,95.9,95.6,95.8,100.0,98.1,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Eligible For Free Lunch,96.8,100.0,93.7,100.0,96.6,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Eligible For Reduced Lunch,96.9,100.0,100.0,100.0,*,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Not Eligible For Lunch,97.3,99.0,97.9,99.0,100.0,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Eligible For Free Lunch,100.0,100.0,100.0,96.4,94.3,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Eligible For Reduced Lunch,95.0,*,*,*,*,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Not Eligible For Lunch,95.1,100.0,93.7,97.1,96.3,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Eligible For Free Lunch,95.6,97.7,93.4,100.0,98.3,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Eligible For Reduced Lunch,100.0,*,*,96.0,100.0,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Not Eligible For Lunch,96.6,98.8,98.4,100.0,93.8,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,Eligible For Free Lunch,91.2,94.9,100.0,95.3,95.2,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,Eligible For Reduced Lunch,*,100.0,100.0,*,*,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,Not Eligible For Lunch,98.9,97.1,98.6,94.8,96.3,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,Eligible For Free Lunch,95.3,100.0,94.8,96.8,96.2,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,Eligible For Reduced Lunch,92.6,100.0,*,*,*,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,Not Eligible For Lunch,98.8,97.7,98.9,100.0,96.6,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Eligible For Free Lunch,96.6,100.0,93.0,95.6,97.6,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Eligible For Reduced Lunch,*,*,*,*,*,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Not Eligible For Lunch,98.3,98.4,97.9,98.9,99.0,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Eligible For Free Lunch,98.6,98.2,98.3,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Eligible For Reduced Lunch,96.9,97.0,97.5,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Not Eligible For Lunch,96.5,100.0,98.1,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Eligible For Free Lunch,95.5,92.6,91.3,98.0,90.9,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Eligible For Reduced Lunch,*,*,*,*,*,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Not Eligible For Lunch,96.7,95.0,96.4,97.6,95.3,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Eligible For Free Lunch,100.0,95.4,98.8,95.5,98.6,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Eligible For Reduced Lunch,94.7,100.0,100.0,100.0,100.0,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Not Eligible For Lunch,98.5,98.9,97.4,100.0,98.7,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Eligible For Free Lunch,100.0,100.0,100.0,94.7,98.6,9002416,Windham Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Eligible For Reduced Lunch,100.0,*,*,*,*,9002416,Windham Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Not Eligible For Lunch,94.4,97.6,97.5,98.3,98.0,9002416,Windham Technical High School,Connecticut Technical High School System
Coventry School District,Coventry High School,Eligible For Free Lunch,60.0,*,*,*,*,0326111,Coventry High School,Coventry School District
Coventry School District,Coventry High School,Eligible For Reduced Lunch,*,*,*,*,*,0326111,Coventry High School,Coventry School District
Coventry School District,Coventry High School,Not Eligible For Lunch,92.4,92.6,*,*,95.7,0326111,Coventry High School,Coventry School District
Cromwell School District,Cromwell High School,Eligible For Free Lunch,84.6,*,*,*,80.0,0336111,Cromwell High School,Cromwell School District
Cromwell School District,Cromwell High School,Eligible For Reduced Lunch,*,*,*,*,*,0336111,Cromwell High School,Cromwell School District
Cromwell School District,Cromwell High School,Not Eligible For Lunch,96.4,94.7,*,100.0,96.4,0336111,Cromwell High School,Cromwell School District
Danbury School District,Alternative Center For Excellence,Eligible For Free Lunch,,*,,,35.5,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Alternative Center For Excellence,Eligible For Reduced Lunch,,*,,,*,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Alternative Center For Excellence,Not Eligible For Lunch,,*,,,*,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Danbury High School,Eligible For Free Lunch,67.6,*,71.9,70.2,71.5,0346111,Danbury High School,Danbury School District
Danbury School District,Danbury High School,Eligible For Reduced Lunch,85.5,*,85.9,73.3,*,0346111,Danbury High School,Danbury School District
Danbury School District,Danbury High School,Not Eligible For Lunch,87.0,*,88.9,90.6,*,0346111,Danbury High School,Danbury School District
Darien School District,Darien High School,Eligible For Free Lunch,*,*,*,*,*,0356111,Darien High School,Darien School District
Darien School District,Darien High School,Eligible For Reduced Lunch,*,*,*,*,,0356111,Darien High School,Darien School District
Darien School District,Darien High School,Not Eligible For Lunch,97.0,97.7,98.5,97.8,*,0356111,Darien High School,Darien School District
Derby School District,Derby High School,Eligible For Free Lunch,65.8,*,*,72.2,79.2,0376111,Derby High School,Derby School District
Derby School District,Derby High School,Eligible For Reduced Lunch,75.0,*,*,*,*,0376111,Derby High School,Derby School District
Derby School District,Derby High School,Not Eligible For Lunch,88.6,90.9,85.7,*,*,0376111,Derby High School,Derby School District
East Granby School District,East Granby High School,Eligible For Free Lunch,*,*,*,*,*,0406111,East Granby High School,East Granby School District
East Granby School District,East Granby High School,Eligible For Reduced Lunch,,,,,*,0406111,East Granby High School,East Granby School District
East Granby School District,East Granby High School,Not Eligible For Lunch,*,*,*,*,100.0,0406111,East Granby High School,East Granby School District
East Haddam School District,Nathan Hale-Ray High School,Eligible For Free Lunch,*,*,*,*,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Haddam School District,Nathan Hale-Ray High School,Eligible For Reduced Lunch,*,*,*,*,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Haddam School District,Nathan Hale-Ray High School,Not Eligible For Lunch,94.2,100.0,*,96.6,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Hampton School District,East Hampton High School,Eligible For Free Lunch,*,*,*,*,*,0426111,East Hampton High School,East Hampton School District
East Hampton School District,East Hampton High School,Eligible For Reduced Lunch,*,*,*,*,*,0426111,East Hampton High School,East Hampton School District
East Hampton School District,East Hampton High School,Not Eligible For Lunch,96.4,*,*,98.0,96.7,0426111,East Hampton High School,East Hampton School District
East Hartford School District,Connecticut IB Academy,Eligible For Free Lunch,*,*,*,*,*,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,Connecticut IB Academy,Eligible For Reduced Lunch,*,*,*,*,*,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,Connecticut IB Academy,Not Eligible For Lunch,91.3,96.2,*,*,100.0,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,East Hartford High School,Eligible For Free Lunch,79.9,83.0,84.7,93.6,93.4,0436211,East Hartford High School,East Hartford School District
East Hartford School District,East Hartford High School,Eligible For Reduced Lunch,*,89.0,89.3,94.1,91.5,0436211,East Hartford High School,East Hartford School District
East Hartford School District,East Hartford High School,Not Eligible For Lunch,94.7,88.3,88.5,97.1,97.0,0436211,East Hartford High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Eligible For Free Lunch,,*,39.7,,58.6,0436411,Stevens Alternate High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Eligible For Reduced Lunch,,52.2,*,,*,0436411,Stevens Alternate High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Not Eligible For Lunch,,*,*,,*,0436411,Stevens Alternate High School,East Hartford School District
East Haven School District,East Haven High School,Eligible For Free Lunch,64.4,57.7,70.5,66.7,64.5,0446111,East Haven High School,East Haven School District
East Haven School District,East Haven High School,Eligible For Reduced Lunch,80.0,85.0,81.0,72.7,77.5,0446111,East Haven High School,East Haven School District
East Haven School District,East Haven High School,Not Eligible For Lunch,80.7,84.0,92.5,90.3,85.0,0446111,East Haven High School,East Haven School District
East Lyme School District,East Lyme High School,Eligible For Free Lunch,*,*,*,*,89.3,0456111,East Lyme High School,East Lyme School District
East Lyme School District,East Lyme High School,Eligible For Reduced Lunch,*,*,*,*,*,0456111,East Lyme High School,East Lyme School District
East Lyme School District,East Lyme High School,Not Eligible For Lunch,96.2,95.1,97.4,*,*,0456111,East Lyme High School,East Lyme School District
East Windsor School District,East Windsor High School,Eligible For Free Lunch,75.0,*,*,87.9,*,0476111,East Windsor High School,East Windsor School District
