district,school,high_needs_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",High Needs,,,,,*,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,Bassick High School,High Needs,*,59.0,62.2,*,60.8,0156111,Bassick High School,Bridgeport School District
Bridgeport School District,Bassick High School,Non-High Needs,,*,,*,,0156111,Bassick High School,Bridgeport School District
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",High Needs,,,,,92.9,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Bridgeport School District
Bridgeport School District,Central High School,High Needs,78.4,77.5,80.7,76.8,76.1,0156211,Central High School,Bridgeport School District
Bridgeport School District,Central High School,Non-High Needs,,*,*,,*,0156211,Central High School,Bridgeport School District
Bridgeport School District,Harding High School,High Needs,66.3,60.7,*,54.1,56.9,0156311,Harding High School,Bridgeport School District
Bridgeport School District,Harding High School,Non-High Needs,*,*,,,,0156311,Harding High School,Bridgeport School District
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,High Needs,,,,,*,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Bridgeport School District
Bristol School District,Bristol Central High School,High Needs,76.7,66.9,71.9,73.0,75.1,0176111,Bristol Central High School,Bristol School District
Bristol School District,Bristol Central High School,Non-High Needs,94.8,95.7,93.5,94.4,94.7,0176111,Bristol Central High School,Bristol School District
Bristol School District,Bristol Eastern High School,High Needs,76.4,69.3,75.0,76.0,83.1,0176211,Bristol Eastern High School,Bristol School District
Bristol School District,Bristol Eastern High School,Non-High Needs,93.4,91.6,92.5,96.8,98.1,0176211,Bristol Eastern High School,Bristol School District
Brookfield School District,Brookfield High School,High Needs,*,87.8,*,92.7,91.7,0186111,Brookfield High School,Brookfield School District
Brookfield School District,Brookfield High School,Non-High Needs,*,98.0,*,97.3,98.8,0186111,Brookfield High School,Brookfield School District
Canton School District,Canton High School,High Needs,*,*,82.6,*,*,0236111,Canton High School,Canton School District
Canton School District,Canton High School,Non-High Needs,*,*,97.3,*,*,0236111,Canton High School,Canton School District
Capital Preparatory Harbor School Inc. District,Capital Preparatory Harbor School Inc.,High Needs,,,,,*,2970113,Capital Preparatory Harbor School Inc.,Capital Preparatory Harbor School Inc. District
Capitol Region Education Council,Academy of Aerospace and Engineering,High Needs,,*,*,74.1,86.2,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Aerospace and Engineering,Non-High Needs,,85.0,*,91.3,95.8,2415114,Academy of Aerospace and Engineering,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,High Needs,,,,95.8,91.2,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Academy of Science and Innovation,Non-High Needs,,,,*,*,2416514,Academy of Science and Innovation,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,High Needs,79.2,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Great Path Academy at MCC,Non-High Needs,84.6,,,,,2416314,Great Path Academy at MCC,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,High Needs,90.2,83.3,82.0,87.7,90.6,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,Non-High Needs,84.2,81.8,88.2,95.7,92.1,2416414,Greater Hartford Academy of  the Arts High School - Full Time,Capitol Region Education Council
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,High Needs,,,93.9,,,,,
Capitol Region Education Council,Medical Professions and Teacher Preparation Academy,Non-High Needs,,,*,,,,,
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,High Needs,88.9,91.7,97.8,92.9,98.2,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,Non-High Needs,100.0,97.7,94.0,100.0,100.0,2416114,Metropolitan Learning Center for Global and International Studies,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,High Needs,,,84.6,86.7,78.0,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Public Safety Academy,Non-High Needs,,,*,*,*,2415214,Public Safety Academy,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,High Needs,,,,,98.3,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Capitol Region Education Council,Two Rivers Magnet High School,Non-High Needs,,,,,*,2416714,Two Rivers Magnet High School,Capitol Region Education Council
Cheshire School District,Cheshire High School,High Needs,*,92.1,*,*,*,0256111,Cheshire High School,Cheshire School District
Cheshire School District,Cheshire High School,Non-High Needs,*,98.6,*,*,*,0256111,Cheshire High School,Cheshire School District
Clinton School District,The Morgan School,High Needs,*,78.8,88.9,77.6,71.7,0276111,The Morgan School,Clinton School District
Clinton School District,The Morgan School,Non-High Needs,*,95.6,96.0,96.4,96.8,0276111,The Morgan School,Clinton School District
Colchester School District,Bacon Academy,High Needs,84.1,83.0,*,90.3,89.8,0286111,Bacon Academy,Colchester School District
Colchester School District,Bacon Academy,Non-High Needs,98.3,97.0,*,97.5,98.0,0286111,Bacon Academy,Colchester School District
Common Ground High School District,Common Ground High School,High Needs,88.0,86.7,*,100.0,89.3,2686113,Common Ground High School,Common Ground High School District
Common Ground High School District,Common Ground High School,Non-High Needs,*,*,*,*,*,2686113,Common Ground High School,Common Ground High School District
Connecticut Technical High School System,A. I. Prince Technical High School,High Needs,92.6,88.8,95.1,98.3,98.1,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,A. I. Prince Technical High School,Non-High Needs,95.0,*,*,*,*,9001516,A. I. Prince Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,High Needs,93.6,96.4,91.4,96.1,97.4,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Bullard-Havens Technical High School,Non-High Needs,100.0,96.4,93.9,95.0,97.1,9001116,Bullard-Havens Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,High Needs,92.9,93.9,95.9,98.1,98.3,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,E. C. Goodwin Technical High School,Non-High Needs,*,100.0,90.0,92.9,100.0,9001916,E. C. Goodwin Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,High Needs,92.4,82.9,92.1,89.7,92.5,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Eli Whitney Technical High School,Non-High Needs,*,*,*,*,*,9001416,Eli Whitney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,High Needs,92.1,96.7,94.1,95.4,96.4,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,Non-High Needs,98.1,100.0,95.2,*,96.2,9002716,Ella T. Grasso Southeastern Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,High Needs,97.2,98.4,95.2,100.0,96.9,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Emmett O'Brien Technical High School,Non-High Needs,96.7,94.2,96.9,100.0,97.8,9002516,Emmett O'Brien Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,High Needs,97.1,100.0,93.6,100.0,97.4,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. C. Wilcox Technical High School,Non-High Needs,97.1,98.9,100.0,98.9,100.0,9001716,H. C. Wilcox Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,High Needs,98.3,100.0,100.0,96.2,94.5,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,H. H. Ellis Technical High School,Non-High Needs,94.4,100.0,93.0,96.8,96.2,9001316,H. H. Ellis Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,High Needs,96.9,95.1,94.1,98.8,99.0,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Henry Abbott Technical High School,Non-High Needs,96.9,98.5,100.0,100.0,92.2,9001216,Henry Abbott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,High Needs,95.0,97.6,100.0,94.1,95.1,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Howell Cheney Technical High School,Non-High Needs,98.8,96.5,98.4,97.1,95.7,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,High Needs,94.7,100.0,96.2,97.8,95.9,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,Non-High Needs,98.7,97.4,98.7,100.0,97.5,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,High Needs,96.9,98.0,94.8,97.2,98.1,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Non-High Needs,98.0,99.2,97.7,98.8,98.9,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,High Needs,98.2,97.9,98.2,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Non-High Needs,96.1,100.0,97.8,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,High Needs,95.2,92.2,90.7,98.8,92.2,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Non-High Needs,97.0,96.1,98.5,97.2,97.0,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,High Needs,98.2,97.2,99.0,96.5,99.0,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Non-High Needs,98.4,98.8,97.4,100.0,98.7,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,High Needs,98.7,98.4,100.0,96.6,98.8,9002416,Windham Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Non-High Needs,95.2,98.6,96.8,97.9,97.7,9002416,Windham Technical High School,Connecticut Technical High School System
Coventry School District,Coventry High School,High Needs,70.2,*,90.9,*,*,0326111,Coventry High School,Coventry School District
Coventry School District,Coventry High School,Non-High Needs,94.2,*,100.0,*,*,0326111,Coventry High School,Coventry School District
Cromwell School District,Cromwell High School,High Needs,85.7,*,73.5,*,89.7,0336111,Cromwell High School,Cromwell School District
Cromwell School District,Cromwell High School,Non-High Needs,98.1,*,100.0,*,96.0,0336111,Cromwell High School,Cromwell School District
Danbury School District,Alternative Center For Excellence,High Needs,,*,,,34.3,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Alternative Center For Excellence,Non-High Needs,,*,,,*,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Danbury High School,High Needs,69.8,*,73.0,69.8,69.9,0346111,Danbury High School,Danbury School District
Danbury School District,Danbury High School,Non-High Needs,91.5,95.4,95.0,95.3,*,0346111,Danbury High School,Danbury School District
Darien School District,Darien High School,High Needs,*,92.7,*,*,*,0356111,Darien High School,Darien School District
Darien School District,Darien High School,Non-High Needs,*,98.5,*,*,*,0356111,Darien High School,Darien School District
Derby School District,Derby High School,High Needs,69.4,56.4,75.8,*,78.8,0376111,Derby High School,Derby School District
Derby School District,Derby High School,Non-High Needs,90.0,90.3,91.7,*,88.0,0376111,Derby High School,Derby School District
East Granby School District,East Granby High School,High Needs,*,*,*,*,*,0406111,East Granby High School,East Granby School District
East Granby School District,East Granby High School,Non-High Needs,*,*,*,100.0,100.0,0406111,East Granby High School,East Granby School District
East Haddam School District,Nathan Hale-Ray High School,High Needs,*,*,86.2,*,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Haddam School District,Nathan Hale-Ray High School,Non-High Needs,*,*,100.0,*,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Hampton School District,East Hampton High School,High Needs,85.2,*,*,*,*,0426111,East Hampton High School,East Hampton School District
East Hampton School District,East Hampton High School,Non-High Needs,97.7,*,100.0,*,*,0426111,East Hampton High School,East Hampton School District
East Hartford School District,Connecticut IB Academy,High Needs,*,*,*,*,95.0,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,Connecticut IB Academy,Non-High Needs,91.3,95.7,*,*,*,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,East Hartford High School,High Needs,83.8,82.9,85.6,93.7,92.6,0436211,East Hartford High School,East Hartford School District
East Hartford School District,East Hartford High School,Non-High Needs,95.7,93.8,89.6,97.8,98.9,0436211,East Hartford High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,High Needs,,50.0,41.0,,56.5,0436411,Stevens Alternate High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Non-High Needs,,*,*,,*,0436411,Stevens Alternate High School,East Hartford School District
East Haven School District,East Haven High School,High Needs,68.3,64.1,74.5,*,67.8,0446111,East Haven High School,East Haven School District
East Haven School District,East Haven High School,Non-High Needs,84.0,89.6,94.3,*,87.8,0446111,East Haven High School,East Haven School District
East Lyme School District,East Lyme High School,High Needs,91.0,79.7,90.6,*,90.9,0456111,East Lyme High School,East Lyme School District
East Lyme School District,East Lyme High School,Non-High Needs,97.3,99.2,99.0,*,100.0,0456111,East Lyme High School,East Lyme School District
East Windsor School District,East Windsor High School,High Needs,*,72.5,86.3,*,*,0476111,East Windsor High School,East Windsor School District
East Windsor School District,East Windsor High School,Non-High Needs,*,95.5,92.9,*,*,0476111,East Windsor High School,East Windsor School District
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),High Needs,*,*,*,*,*,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Non-High Needs,88.9,*,*,*,85.7,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,High Needs,65.5,67.9,54.5,63.3,75.0,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Non-High Needs,*,*,*,*,*,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Ellington School District,Ellington High School,High Needs,71.4,78.9,90.0,90.9,*,0486111,Ellington High School,Ellington School District
Ellington School District,Ellington High School,Non-High Needs,95.2,95.0,97.4,100.0,*,0486111,Ellington High School,Ellington School District
Elm City College Preparatory School District,Elm City College Preparatory School,High Needs,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Elm City College Preparatory School District,Elm City College Preparatory School,Non-High Needs,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Enfield School District,Enfield High School,High Needs,75.4,69.1,65.9,77.8,80.0,0496111,Enfield High School,Enfield School District
Enfield School District,Enfield High School,Non-High Needs,95.1,92.2,95.4,93.2,92.2,0496111,Enfield High School,Enfield School District
Enfield School District,Enrico Fermi High School,High Needs,75.5,83.5,85.4,78.9,,0496211,Enrico Fermi High School,Enfield School District
Enfield School District,Enrico Fermi High School,Non-High Needs,94.4,97.7,93.0,94.9,,0496211,Enrico Fermi High School,Enfield School District
Explorations District,Explorations,High Needs,*,*,*,*,*,2726113,Explorations,Explorations District
Explorations District,Explorations,Non-High Needs,*,*,*,*,*,2726113,Explorations,Explorations District
Fairfield School District,Fairfield Ludlowe High School,High Needs,91.0,85.4,76.4,87.7,95.3,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Ludlowe High School,Non-High Needs,97.8,98.0,98.6,99.3,98.6,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,High Needs,78.0,78.0,83.7,94.5,91.0,0516211,Fairfield Warde High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Non-High Needs,97.3,96.9,98.1,98.7,99.6,0516211,Fairfield Warde High School,Fairfield School District
Farmington School District,Farmington High School,High Needs,88.9,*,*,91.7,89.2,0526111,Farmington High School,Farmington School District
Farmington School District,Farmington High School,Non-High Needs,97.5,*,*,100.0,98.8,0526111,Farmington High School,Farmington School District
Glastonbury School District,Glastonbury High School,High Needs,83.2,*,95.2,96.9,97.1,0546111,Glastonbury High School,Glastonbury School District
Glastonbury School District,Glastonbury High School,Non-High Needs,99.3,*,99.6,99.3,100.0,0546111,Glastonbury High School,Glastonbury School District
Granby School District,Granby Memorial High School,High Needs,*,*,*,*,93.8,0566111,Granby Memorial High School,Granby School District
Granby School District,Granby Memorial High School,Non-High Needs,*,*,*,*,100.0,0566111,Granby Memorial High School,Granby School District
Greenwich School District,Greenwich High School,High Needs,84.9,85.0,93.2,*,92.9,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Non-High Needs,95.8,98.8,98.5,*,98.9,0576111,Greenwich High School,Greenwich School District
Griswold School District,Griswold High School,High Needs,76.5,77.8,*,*,84.1,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Non-High Needs,96.1,95.8,*,*,97.4,0586211,Griswold High School,Griswold School District
Groton School District,Robert E. Fitch High School,High Needs,74.4,73.2,78.0,*,85.3,0596111,Robert E. Fitch High School,Groton School District
Groton School District,Robert E. Fitch High School,Non-High Needs,90.7,91.6,93.9,*,94.1,0596111,Robert E. Fitch High School,Groton School District
Guilford School District,Guilford High School,High Needs,*,82.1,76.1,*,*,0606111,Guilford High School,Guilford School District
Guilford School District,Guilford High School,Non-High Needs,*,96.8,98.6,*,*,0606111,Guilford High School,Guilford School District
Hamden School District,Hamden High School,High Needs,77.7,80.0,85.4,*,*,0626111,Hamden High School,Hamden School District
Hamden School District,Hamden High School,Non-High Needs,94.0,94.2,97.8,*,*,0626111,Hamden High School,Hamden School District
Hartford School District,Bulkeley High School Upper School,High Needs,63.3,71.6,73.3,72.4,71.4,,,
Hartford School District,Bulkeley High School Upper School,Non-High Needs,,,,,*,,,
Hartford School District,Capital Community College Magnet Academy,High Needs,,,,*,95.2,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Community College Magnet Academy,Non-High Needs,,,,*,*,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Preparatory Magnet School,High Needs,100.0,*,97.8,96.4,*,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Non-High Needs,*,*,*,*,*,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Classical Magnet School,High Needs,98.0,92.9,93.9,87.9,93.6,0646411,Classical Magnet School,Hartford School District
Hartford School District,Classical Magnet School,Non-High Needs,100.0,97.0,97.1,96.2,100.0,0646411,Classical Magnet School,Hartford School District
Hartford School District,Culinary Arts Academy,High Needs,65.2,56.2,59.8,69.2,53.2,,,
Hartford School District,Culinary Arts Academy,Non-High Needs,,,,,*,,,
Hartford School District,Global Communications Academy,High Needs,,,,,92.9,0643611,Global Communications Academy,Hartford School District
Hartford School District,Great Path Academy High School at MCC,High Needs,,89.7,90.9,,,,,
Hartford School District,Great Path Academy High School at MCC,Non-High Needs,,100.0,*,,,,,
Hartford School District,Great Path Academy at MCC,High Needs,,,,88.0,90.5,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,Great Path Academy at MCC,Non-High Needs,,,,*,95.2,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,HPHS Academy of Engineering and Green Technology,High Needs,60.8,63.4,61.6,70.7,55.2,,,
Hartford School District,HPHS Academy of Engineering and Green Technology,Non-High Needs,,,,*,*,,,
Hartford School District,HPHS Academy of Nursing and Health Science,High Needs,68.0,68.3,66.2,73.0,63.1,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Non-High Needs,,,*,,*,,,
Hartford School District,HPHS Law and Government Academy,High Needs,47.4,71.7,71.9,61.8,65.0,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,HPHS Law and Government Academy,Non-High Needs,,,,*,*,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,High Needs,,,,96.1,89.5,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Non-High Needs,,,,96.0,96.0,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,High School Inc.,High Needs,,68.1,63.0,76.7,,,,
Hartford School District,High School Inc.,Non-High Needs,,*,*,*,,,,
Hartford School District,"High School, Inc.",High Needs,,,,,79.5,0647611,"High School, Inc.",Hartford School District
Hartford School District,"High School, Inc.",Non-High Needs,,,,,*,0647611,"High School, Inc.",Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,High Needs,,66.7,76.4,71.7,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Non-High Needs,,,*,,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,High Needs,,,,,93.9,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,OPPortunity High School,High Needs,47.1,58.7,33.8,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,OPPortunity High School,Non-High Needs,*,*,*,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,High Needs,90.6,91.7,87.8,88.4,97.0,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Non-High Needs,100.0,*,95.7,92.0,95.7,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,High Needs,90.6,93.2,91.3,91.8,97.8,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Non-High Needs,,,,,*,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,University High School of Science and Engineering,High Needs,,,,94.6,90.0,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High School of Science and Engineering,Non-High Needs,,,,100.0,96.4,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High of Science and Engineering,High Needs,85.5,98.0,89.8,,,,,
Hartford School District,University High of Science and Engineering,Non-High Needs,96.8,95.5,96.8,,,,,
Jumoke Academy District,Jumoke Academy,High Needs,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
Killingly School District,Killingly High School,High Needs,67.3,67.8,73.8,*,74.7,0696111,Killingly High School,Killingly School District
Killingly School District,Killingly High School,Non-High Needs,91.7,87.5,94.1,*,95.7,0696111,Killingly High School,Killingly School District
Learn,Connecticut River Academy,High Needs,,95.8,90.0,93.3,86.9,2456014,Connecticut River Academy,Learn
Learn,Connecticut River Academy,Non-High Needs,,*,100.0,92.0,100.0,2456014,Connecticut River Academy,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,High Needs,,,*,83.3,97.3,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Non-High Needs,,*,*,90.0,100.0,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Three Rivers Middle College Magnet School,High Needs,,*,*,*,*,2456214,Three Rivers Middle College Magnet School,Learn
Learn,Three Rivers Middle College Magnet School,Non-High Needs,,*,*,*,*,2456214,Three Rivers Middle College Magnet School,Learn
Lebanon School District,Lyman Memorial High School,High Needs,84.0,*,88.5,*,*,0716211,Lyman Memorial High School,Lebanon School District
Lebanon School District,Lyman Memorial High School,Non-High Needs,91.3,*,96.2,*,*,0716211,Lyman Memorial High School,Lebanon School District
Ledyard School District,Ledyard High School,High Needs,81.1,81.2,*,*,*,0726111,Ledyard High School,Ledyard School District
Ledyard School District,Ledyard High School,Non-High Needs,96.1,97.4,*,*,*,0726111,Ledyard High School,Ledyard School District
Lisbon School District,Community Connection - The Big Picture High School,High Needs,*,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
