"category","chron_abs_count","chron_abs_rate","susp_exp_count","susp_exp_rate","school_id","year"
"Female ","0 ","0.0 ","0 ","0.0","0010111","201314"
"Male ","* ","* ","* ","*","0010111","201314"
"Black or African American ","0 ","* ","0 ","*","0010111","201314"
"Hispanic or Latino ","* ","* ","0 ","*","0010111","201314"
"White ","* ","* ","* ","*","0010111","201314"
"English Language Learners ","0 ","* ","0 ","*","0010111","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0010111","201314"
"Students with Disabilities ","0 ","0.0 ","* ","*","0010111","201314"
"School ","* ","* ","* ","*","0010111","201314"
"District ","","* ","","*","0010111","201314"
"Female ","* ","* ","* ","*","0010111","201415"
"Male ","* ","* ","* ","*","0010111","201415"
"Black or African American ","0 ","* ","0 ","*","0010111","201415"
"Hispanic or Latino ","0 ","* ","* ","*","0010111","201415"
"White ","* ","* ","* ","*","0010111","201415"
"English Language Learners ","0 ","* ","* ","*","0010111","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0010111","201415"
"Students with Disabilities ","* ","* ","* ","*","0010111","201415"
"School ","* ","* ","* ","*","0010111","201415"
"District ","","* ","","*","0010111","201415"
"Male * ","* ","* ",NA,"*","0010111","201516"
"Black or African American 0 ","* ","0 ",NA,"*","0010111","201516"
"Hispanic or Latino 0 ","* ","0 ",NA,"*","0010111","201516"
"White * ","* ","* ",NA,"*","0010111","201516"
"English Language Learners 0 ","* ","0 ",NA,"*","0010111","201516"
"Eligible for Free or Reduced-Price Meals * ","* ","0 ",NA,"0.0","0010111","201516"
"Students with Disabilities 0 ","* ","0 ",NA,"0.0","0010111","201516"
"School * ","* ","* ",NA,"*","0010111","201516"
"District ","* ","",NA,"*","0010111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  Fewer than 6","","",NA,"","0010111","201516"
"Female ","24 ","8.2 ","0 ","0.0","0020311","201314"
"Male ","27 ","9.6 ","10 ","3.5","0020311","201314"
"Black or African American ","* ","* ","* ","*","0020311","201314"
"Hispanic or Latino ","24 ","12.5 ","* ","*","0020311","201314"
"White ","17 ","7.1 ","* ","*","0020311","201314"
"English Language Learners ","* ","* ","0 ","*","0020311","201314"
"Eligible for Free or Reduced-Price Meals ","49 ","11.5 ","9 ","2.0","0020311","201314"
"Students with Disabilities ","10 ","11.2 ","* ","*","0020311","201314"
"School ","51 ","8.9 ","10 ","1.7","0020311","201314"
"District ","","11.3 ","","8.2","0020311","201314"
"Female ","35 ","11.9 ","9 ","3.0","0020311","201415"
"Male ","53 ","17.1 ","15 ","4.7","0020311","201415"
"Black or African American ","* ","* ","11 ","8.9","0020311","201415"
"Hispanic or Latino ","36 ","16.4 ","* ","*","0020311","201415"
"White ","26 ","11.5 ","* ","*","0020311","201415"
"English Language Learners ","8 ","30.8 ","0 ","0.0","0020311","201415"
"Eligible for Free or Reduced-Price Meals ","82 ","19.0 ","21 ","4.7","0020311","201415"
"Students with Disabilities ","18 ","17.6 ","10 ","8.8","0020311","201415"
"School ","88 ","14.5 ","24 ","3.9","0020311","201415"
"District ","","16.3 ","","7.1","0020311","201415"
"Male 58 ","18.7 ",NA,"22 ","6.8","0020311","201516"
"Black or African American 17 ","15.0 ",NA,"12 ","10.3","0020311","201516"
"Hispanic or Latino 39 ","16.5 ",NA,"9 ","3.7","0020311","201516"
"White 31 ","15.3 ",NA,"* ","*","0020311","201516"
"English Language Learners * ","* ",NA,"0 ","0.0","0020311","201516"
"Eligible for Free or Reduced-Price Meals 79 ","18.3 ",NA,"26 ","5.7","0020311","201516"
"Students with Disabilities 21 ","19.1 ",NA,"10 ","7.8","0020311","201516"
"School 92 ","15.5 ",NA,"28 ","4.5","0020311","201516"
"District ","14.5 ",NA,"","8.2","0020311","201516"
"Number of students in 2014-15 qualified as truant under state statute:  84","",NA,"","","0020311","201516"
"Female ","20 ","6.6 ","* ","*","0020811","201314"
"Male ","34 ","9.6 ","* ","*","0020811","201314"
"Black or African American ","* ","* ","* ","*","0020811","201314"
"Hispanic or Latino ","23 ","11.1 ","* ","*","0020811","201314"
"White ","21 ","6.8 ","* ","*","0020811","201314"
"English Language Learners ","* ","* ","0 ","0.0","0020811","201314"
"Eligible for Free or Reduced-Price Meals ","47 ","10.0 ","7 ","1.4","0020811","201314"
"Students with Disabilities ","7 ","6.9 ","* ","*","0020811","201314"
"School ","54 ","8.2 ","8 ","1.2","0020811","201314"
"District ","","11.3 ","","8.2","0020811","201314"
"Female ","28 ","8.6 ","* ","*","0020811","201415"
"Male ","37 ","10.0 ","* ","*","0020811","201415"
"Black or African American ","* ","* ","* ","*","0020811","201415"
"Hispanic or Latino ","22 ","9.6 ","* ","*","0020811","201415"
"White ","26 ","8.8 ","6 ","2.0","0020811","201415"
"English Language Learners ","0 ","* ","* ","*","0020811","201415"
"Eligible for Free or Reduced-Price Meals ","60 ","12.4 ","11 ","2.1","0020811","201415"
"Students with Disabilities ","12 ","10.0 ","7 ","5.5","0020811","201415"
"School ","65 ","9.4 ","12 ","1.7","0020811","201415"
"District ","","16.3 ","","7.1","0020811","201415"
"Male 29 ","8.3 ",NA,"* ","*","0020811","201516"
"Black or African American 16 ","15.2 ",NA,"8 ","7.5","0020811","201516"
"Hispanic or Latino 17 ","7.9 ",NA,"6 ","2.8","0020811","201516"
"White 22 ","7.3 ",NA,"* ","*","0020811","201516"
"English Language Learners * ","* ",NA,"0 ","0.0","0020811","201516"
"Eligible for Free or Reduced-Price Meals 52 ","11.3 ",NA,"16 ","3.3","0020811","201516"
"Students with Disabilities 13 ","11.6 ",NA,"* ","*","0020811","201516"
"School 61 ","9.0 ",NA,"19 ","2.8","0020811","201516"
"District ","14.5 ",NA,"","8.2","0020811","201516"
"Number of students in 2014-15 qualified as truant under state statute:  66","",NA,"","","0020811","201516"
"Female ","23 ","12.8 ","38 ","16.1","0025111","201314"
"Male ","32 ","14.6 ","73 ","26.2","0025111","201314"
"Black or African American ","* ","* ","* ","*","0025111","201314"
"Hispanic or Latino ","20 ","16.8 ","36 ","23.3","0025111","201314"
"White ","21 ","12.4 ","39 ","17.8","0025111","201314"
"English Language Learners ","0 ","* ","0 ","*","0025111","201314"
"Eligible for Free or Reduced-Price Meals ","45 ","15.8 ","84 ","23.0","0025111","201314"
"Students with Disabilities ","13 ","21.3 ","23 ","22.7","0025111","201314"
"School ","55 ","13.8 ","111 ","21.6","0025111","201314"
"District ","","11.3 ","","8.2","0025111","201314"
"Female ","24 ","12.3 ","20 ","8.1","0025111","201415"
"Male ","45 ","21.3 ","62 ","22.5","0025111","201415"
"Black or African American ","* ","* ","17 ","15.8","0025111","201415"
"Hispanic or Latino ","22 ","18.0 ","31 ","19.7","0025111","201415"
"White ","28 ","15.7 ","27 ","12.2","0025111","201415"
"English Language Learners ","0 ","* ","* ","*","0025111","201415"
"Eligible for Free or Reduced-Price Meals ","55 ","19.0 ","66 ","17.0","0025111","201415"
"Students with Disabilities ","18 ","26.1 ","17 ","15.3","0025111","201415"
"School ","69 ","17.0 ","82 ","15.7","0025111","201415"
"District ","","16.3 ","","7.1","0025111","201415"
"Male 30 ","15.7 ",NA,"62","23.8","0025111","201516"
"Black or African American * ","* ",NA,"26","27.1","0025111","201516"
"Hispanic or Latino 13 ","12.1 ",NA,"25","17.6","0025111","201516"
"White 24 ","14.2 ",NA,"32","15.3","0025111","201516"
"English Language Learners 0 ","* ",NA,"0","*","0025111","201516"
"Eligible for Free or Reduced-Price Meals 45 ","17.6 ",NA,"73","21.0","0025111","201516"
"Students with Disabilities 12 ","15.8 ",NA,"23","18.9","0025111","201516"
