"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_id","year"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0010111","201415"
"Asian ","* ","* ","* ","* ","0 ","*","0010111","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0010111","201415"
"Hispanic or Latino ","6 ","* ","6 ","* ","* ","*","0010111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0010111","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0010111","201415"
"White ","149 ","83.1 ","149 ","76.5 ","43 ","65.9","0010111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0010111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0010111","201415"
"Eligible for Free or Reduced-Price Meals ","21 ","77.2 ","21 ","67.8 ","8 ","*","0010111","201415"
"Not Eligible for Free or Reduced-Price Meals ","139 ","83.8 ","139 ","77.6 ","42 ","66.6","0010111","201415"
"Students with Disabilities ","12 ","* ","12 ","* ","9 ","*","0010111","201415"
"Students without Disabilities ","148 ","85.0 ","148 ","78.1 ","41 ","67.7","0010111","201415"
"High Needs ","34 ","74.4 ","34 ","67.2 ","16 ","*","0010111","201415"
"Non-High Needs ","126 ","85.2 ","126 ","78.8 ","34 ","71.1","0010111","201415"
"School ","160 ","82.9 ","160 ","76.4 ","50 ","64.0","0010111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0010111","201516"
"Black or African American ","* ","* ","* ","* ","0 ","N/A","0010111","201516"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","0010111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0010111","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0010111","201516"
"White ","147 ","80.2 ","147 ","75.8 ","40 ","71.8","0010111","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0010111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","43 ","71.8","0010111","201516"
"Eligible for Free or Reduced-Price Meals ","24 ","72.3 ","24 ","71.0 ","* ","*","0010111","201516"
