"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible for Free or Reduced-Price Meals",60.7,84.3,47.8,81.8,52.2,79.7,53.4,76.2,53.8,71.4
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,90.0,*,76.9,85.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible for Free or Reduced-Price Meals",*,*,58.3,*,53.8,90.5,54.5,*,71.1,78.1
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible for Free or Reduced-Price Meals",51.2,95.2,54.1,95.0,67.5,81.5,63.0,86.2,59.2,72.4
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible for Free or Reduced-Price Meals",57.1,75.0,67.1,76.5,64.0,68.8,67.1,81.8,68.9,77.4
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,N/A,N/A,61.9,*,*,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,N/A,N/A,N/A,N/A
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible for Free or Reduced-Price Meals",62.5,96.0,68.8,87.9,67.7,78.6,57.6,76.3,61.3,91.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible for Free or Reduced-Price Meals",52.6,68.3,45.1,71.3,44.9,77.5,50.9,67.6,41.7,71.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible for Free or Reduced-Price Meals",64.0,84.2,66.0,81.8,63.7,84.0,64.6,82.0,61.8,83.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible for Free or Reduced-Price Meals",49.8,78.0,51.9,74.8,46.8,77.1,44.4,70.8,46.1,78.3
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Eligible for Free or Reduced-Price Meals",*,*,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bridgeport School District","=""0150011""","The University School","=""0159111""","Eligible for Free or Reduced-Price Meals",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible for Free or Reduced-Price Meals",49.0,70.8,50.5,75.5,40.2,85.7,45.4,74.1,43.5,66.7
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible for Free or Reduced-Price Meals",48.3,86.2,60.0,70.4,47.9,84.4,47.4,75.6,50.8,87.1
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible for Free or Reduced-Price Meals",*,*,55.0,*,*,*,89.7,88.5,81.3,88.5
"Canton School District","=""0230011""","Canton High School","=""0236111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Eligible for Free or Reduced-Price Meals",*,*,73.5,92.0,76.1,85.7,63.6,89.3,78.6,90.9
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Eligible for Free or Reduced-Price Meals",50.0,*,48.3,*,47.6,*,51.6,*,40.7,*
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Eligible for Free or Reduced-Price Meals",66.7,*,66.7,68.2,66.7,85.7,47.2,*,62.8,74.1
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Eligible for Free or Reduced-Price Meals",45.5,*,33.3,*,30.8,*,51.7,*,*,*
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Eligible for Free or Reduced-Price Meals",58.1,*,64.5,90.0,60.6,90.0,73.5,80.0,67.7,85.7
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,30.0,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Eligible for Free or Reduced-Price Meals",51.2,82.2,55.7,85.4,55.8,83.8,59.2,85.2,56.4,81.4
"Darien School District","=""0350011""","Darien High School","=""0356111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Derby School District","=""0370011""","Derby High School","=""0376111""","Eligible for Free or Reduced-Price Meals",36.2,*,44.4,91.7,54.9,78.6,61.1,68.2,44.4,64.3
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,39.1,*
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,47.6,*,*,*,*,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Eligible for Free or Reduced-Price Meals",*,*,N/A,N/A,*,*,N/A,N/A,*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,91.3,100.0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Eligible for Free or Reduced-Price Meals",57.1,84.1,57.0,76.9,66.2,77.3,57.6,74.8,60.9,69.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Eligible for Free or Reduced-Price Meals",24.4,*,23.0,*,19.7,*,29.3,25.0,22.0,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Eligible for Free or Reduced-Price Meals",55.8,88.7,57.4,81.8,63.6,92.9,63.6,79.4,63.9,79.5
"East Haven School District","=""0440011""","Pathways","=""0449011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Eligible for Free or Reduced-Price Meals",*,*,51.5,*,63.3,71.0,74.2,91.3,69.7,91.3
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Eligible for Free or Reduced-Price Meals",58.6,*,36.7,*,46.9,*,45.9,*,46.7,71.4
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,48.0,*
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Eligible for Free or Reduced-Price Meals",62.5,57.5,56.3,85.2,63.8,86.7,49.1,65.4,51.7,60.0
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Eligible for Free or Reduced-Price Meals",N/A,N/A,*,*,*,*,*,*,*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Eligible for Free or Reduced-Price Meals",63.5,90.0,54.8,82.4,52.9,75.7,57.8,81.1,54.0,79.4
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Eligible for Free or Reduced-Price Meals",79.2,*,59.0,100.0,68.3,71.4,67.4,82.8,64.5,85.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Eligible for Free or Reduced-Price Meals",75.0,81.5,54.8,82.6,60.9,96.4,70.3,84.6,71.4,96.4
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Eligible for Free or Reduced-Price Meals",84.0,71.4,72.7,83.3,75.7,89.3,82.9,82.8,71.4,70.0
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Eligible for Free or Reduced-Price Meals",71.8,96.4,73.5,91.7,68.5,89.2,81.4,85.7,64.3,88.9
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,80.0,*,85.0,*
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Eligible for Free or Reduced-Price Meals",63.7,75.9,66.3,78.5,59.0,93.2,70.4,88.4,76.3,73.3
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Eligible for Free or Reduced-Price Meals",45.5,60.0,53.8,85.7,49.1,85.2,56.9,63.6,62.1,68.3
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Eligible for Free or Reduced-Price Meals",63.4,79.7,69.1,80.0,65.2,78.1,58.2,75.4,50.4,62.9
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Eligible for Free or Reduced-Price Meals",87.5,90.5,78.6,77.3,50.0,*,64.3,*,77.5,87.1
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Eligible for Free or Reduced-Price Meals",61.0,75.0,62.9,85.5,59.3,79.8,60.5,77.1,63.5,80.3
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""","Eligible for Free or Reduced-Price Meals",50.8,72.4,49.4,70.6,47.4,68.7,44.7,72.2,31.6,75.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Eligible for Free or Reduced-Price Meals",80.0,*,90.0,*,84.6,81.8,95.7,81.8,92.2,76.6
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Eligible for Free or Reduced-Price Meals",81.6,96.8,81.0,89.4,85.7,81.3,89.3,96.0,92.5,90.3
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Eligible for Free or Reduced-Price Meals",45.1,65.6,41.0,64.0,26.7,*,41.3,*,34.7,38.5
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","Eligible for Free or Reduced-Price Meals",N/A,N/A,N/A,N/A,N/A,N/A,69.8,96.7,80.0,75.0
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Eligible for Free or Reduced-Price Meals",45.1,48.8,44.3,79.1,34.4,75.8,34.4,74.2,46.8,58.6
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Eligible for Free or Reduced-Price Meals",52.0,64.2,50.9,67.3,49.5,71.7,53.8,77.2,56.4,60.4
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Eligible for Free or Reduced-Price Meals",49.3,84.8,58.5,75.0,61.4,74.1,49.1,74.1,47.6,68.0
