"District","District Code","School","School Code","Special Education Status","Count","%"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Students with Disabilities",14,43.8
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Students with Disabilities",32,18.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Students with Disabilities",94,41.8
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Students with Disabilities",8,17.0
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Students with Disabilities","N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Students with Disabilities",6,9.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Students with Disabilities",16,11.9
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Students with Disabilities",20,45.5
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Students with Disabilities",11,18.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Students with Disabilities",112,44.1
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Students with Disabilities",29,16.4
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Students with Disabilities",15,17.4
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Students with Disabilities",36,46.2
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Students with Disabilities",25,24.8
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Students with Disabilities",18,35.3
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Students with Disabilities",15,31.9
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Students with Disabilities",31,23.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Students with Disabilities","N/A","N/A"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Students with Disabilities",7,12.7
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Students with Disabilities",83,38.6
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Students with Disabilities",18,29.0
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Students with Disabilities",8,34.8
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Students with Disabilities",34,22.2
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Students with Disabilities",32,24.6
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Students with Disabilities",8,11.9
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Students with Disabilities","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Students with Disabilities",6,9.7
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Students with Disabilities",22,22.7
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Students with Disabilities",23,28.0
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Students with Disabilities","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Students with Disabilities",28,32.9
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Students with Disabilities","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Students with Disabilities",59,27.2
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""","Students with Disabilities","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Students with Disabilities",50,24.3
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Students with Disabilities",33,23.4
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Students with Disabilities","N/A","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Students with Disabilities","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Students with Disabilities",12,22.6
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Students with Disabilities",8,10.0
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Students with Disabilities",18,13.2
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Students with Disabilities","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Students with Disabilities","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Students with Disabilities",6,9.5
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Students with Disabilities","N/A","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Students with Disabilities",11,15.7
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","Students with Disabilities","N/A","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","Students with Disabilities","N/A","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Students with Disabilities","*","*"
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Students with Disabilities",31,22.1
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","Students with Disabilities",7,13.5
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","Students with Disabilities",12,19.4
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Students with Disabilities",114,44.4
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","Students with Disabilities",52,25.5
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Students with Disabilities",7,9.1
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Students with Disabilities",6,25.0
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""","Students with Disabilities","N/A","N/A"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Students with Disabilities","*","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Students with Disabilities",25,21.0
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Students with Disabilities",21,23.6
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Students with Disabilities","N/A","N/A"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Students with Disabilities","N/A","*"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Students with Disabilities","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Students with Disabilities","N/A","N/A"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Students with Disabilities","*","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Students with Disabilities","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Students with Disabilities",13,10.3
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Students with Disabilities","N/A","N/A"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Students with Disabilities","N/A","N/A"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Students with Disabilities",10,13.2
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Students with Disabilities",9,15.0
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Students with Disabilities",24,40.7
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Students with Disabilities",54,22.5
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Students with Disabilities",32,23.2
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Students with Disabilities",7,13.2
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Students with Disabilities","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Students with Disabilities","N/A","N/A"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Students with Disabilities",19,13.7
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""","Students with Disabilities","N/A","N/A"
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","Students with Disabilities","*","*"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","Students with Disabilities","*","*"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","Students with Disabilities","N/A","N/A"
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""","Students with Disabilities","N/A","N/A"
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","Students with Disabilities",8,40.0
"Manchester School District","=""0770011""","Bowers School","=""0770111""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Students with Disabilities",9,10.1
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""","Students with Disabilities",12,16.4
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","Students with Disabilities","N/A","*"
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""","Students with Disabilities",23,19.8
"Manchester School District","=""0770011""","Keeney School","=""0770611""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","Students with Disabilities",31,17.7
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""","Students with Disabilities","N/A","N/A"
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","Students with Disabilities",39,63.9
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""","Students with Disabilities","N/A","*"
"Manchester School District","=""0770011""","Martin School","=""0771611""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","Students with Disabilities","N/A","*"
"Manchester School District","=""0770011""","Robertson School","=""0771011""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Verplanck School","=""0771211""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Waddell School","=""0771311""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Washington School","=""0771411""","Students with Disabilities","*","*"
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","Students with Disabilities","N/A","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Students with Disabilities","N/A","N/A"
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","Students with Disabilities",6,"*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Students with Disabilities","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Students with Disabilities",12,16.7
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Students with Disabilities","*","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Students with Disabilities","*","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Students with Disabilities","N/A","*"
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","Students with Disabilities","N/A","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Students with Disabilities","N/A","*"
