"",,,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","School","School Code","Race/Ethnicity","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","American Indian or Alaska Native","*","*","*","*","N/A","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Asian","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Black or African American",249,39.0,340,48.9,215,30.2,213,30.1,186,24.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Hispanic/Latino of any race",33,32.4,42,40.4,"*","*",53,27.9,55,23.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Native Hawaiian or Other Pacific Islander","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Two or More Races","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","White","N/A","*","N/A","*","N/A","N/A","*","*","N/A","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","American Indian or Alaska Native","*","*","*","*","*","*","N/A","*","N/A","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Black or African American",138,26.0,221,39.9,225,40.3,203,34.4,202,31.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Hispanic/Latino of any race",53,18.4,99,31.7,100,29.7,99,28.2,74,20.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Two or More Races","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","White","*","*",6,"*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Asian","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Black or African American","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Hispanic/Latino of any race","N/A","*","N/A","*","N/A","*","*","*","N/A","*"
