"",,,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","School","School Code","Gender","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Female",101,29.2,141,37.0,85,20.7,100,22.3,91,17.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Male",187,45.8,251,57.8,171,38.5,171,36.2,152,29.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",71,17.0,132,30.1,132,28.6,124,25.3,112,21.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",129,30.1,197,42.8,203,43.7,187,38.6,173,35.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Male","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",65,18.9,32,10.4,10,3.8,20,7.3,22,7.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",102,28.5,80,24.0,51,15.5,29,9.2,27,8.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Female",10,4.6,33,14.8,38,16.2,20,8.1,26,12.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Male",26,9.6,55,20.6,73,26.3,62,22.5,62,23.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Female","*","*","N/A","N/A","N/A","N/A",9,3.0,6,2.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Male","*","*",10,3.3,10,3.5,15,4.8,22,6.8
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Female","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Male","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Female",7,28.0,"*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Male",62,39.5,"*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Female",37,10.9,43,12.9,45,13.6,40,11.6,42,11.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Male",91,23.9,95,24.6,84,22.3,91,25.0,73,19.5
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Male","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Female","N/A","N/A","*","*","N/A","N/A","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Male",16,18.4,"*","*",9,11.3,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Female",13,48.1,14,48.3,23,65.7,20,57.1,17,60.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Male",37,48.1,39,51.3,39,52.0,38,46.9,42,48.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Female","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Male","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Female",12,3.7,15,4.6,14,4.4,8,2.6,10,3.2
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Male",27,8.9,21,7.3,28,9.1,32,10.1,24,7.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Female","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Male","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",9,1.6,20,3.7,13,2.4,9,1.7,12,2.3
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",7,1.3,27,5.1,23,4.6,21,4.1,12,2.4
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Female",7,2.5,"*","*","*","*",8,2.8,7,2.7
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Male",23,7.6,"*","*","*","*",13,4.9,17,5.9
