"District","District Code","School","School Code","Gender","Count","%"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female","N/A","N/A"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male","N/A","N/A"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Female","N/A","N/A"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Male","N/A","N/A"
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","Female","N/A","N/A"
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","Male","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Female","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Male","N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Female","N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Male","N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Female","N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Female","N/A","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Comm Based PreK","=""0158741""","Male","N/A","*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","Female","N/A","*"
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""","Female","N/A","*"
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Female","N/A","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","The University School","=""0159111""","Female","N/A","*"
"Bridgeport School District","=""0150011""","The University School","=""0159111""","Male","N/A","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Male","N/A","N/A"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Female","N/A","N/A"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Male","N/A","N/A"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Female","N/A","N/A"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Male","N/A","N/A"
