"",,,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","School","School Code","Special Education Status","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Students with Disabilities",28,47.5,42,55.3,31,37.3,35,36.1,34,29.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Students with Disabilities",16,29.6,24,46.2,34,55.7,31,50.0,40,65.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Students with Disabilities","N/A","N/A","*","*","*","*","*","*","N/A","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Students with Disabilities",30,36.6,20,30.3,13,18.6,15,17.4,14,14.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Students with Disabilities","*","*",15,16.9,23,22.8,17,15.3,23,18.9
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Students with Disabilities","*","*","*","*","*","*",10,8.8,10,7.8
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Students with Disabilities","*","*","*","*","*","*",7,5.6,"*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Students with Disabilities",20,12.2,28,17.0,28,15.5,18,9.5,33,16.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Students with Disabilities",9,12.9,19,23.2,20,22.7,29,31.2,23,24.2
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
