"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Count","%"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Eligible for Free or Reduced-Price Meals","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible for Free or Reduced-Price Meals",31,22.1
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Eligible for Free or Reduced-Price Meals",18,15.4
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Eligible for Free or Reduced-Price Meals","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Eligible for Free or Reduced-Price Meals","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible for Free or Reduced-Price Meals",47,24.1
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Eligible for Free or Reduced-Price Meals",24,16.2
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible for Free or Reduced-Price Meals",65,20.7
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Eligible for Free or Reduced-Price Meals",27,21.1
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Eligible for Free or Reduced-Price Meals",45,31.7
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible for Free or Reduced-Price Meals",29,28.4
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Eligible for Free or Reduced-Price Meals",12,6.1
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Eligible for Free or Reduced-Price Meals","*","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Eligible for Free or Reduced-Price Meals",19,14.4
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Eligible for Free or Reduced-Price Meals","*","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","Eligible for Free or Reduced-Price Meals","*","*"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Eligible for Free or Reduced-Price Meals","*","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Eligible for Free or Reduced-Price Meals",8,7.1
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Eligible for Free or Reduced-Price Meals",14,19.4
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Eligible for Free or Reduced-Price Meals",6,6.5
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Eligible for Free or Reduced-Price Meals",14,18.2
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Eligible for Free or Reduced-Price Meals",27,28.4
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Eligible for Free or Reduced-Price Meals",33,33.7
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Eligible for Free or Reduced-Price Meals","*","*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Eligible for Free or Reduced-Price Meals","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Eligible for Free or Reduced-Price Meals",35,42.7
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Eligible for Free or Reduced-Price Meals",38,6.7
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Eligible for Free or Reduced-Price Meals",398,29.1
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Eligible for Free or Reduced-Price Meals","*","*"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Eligible for Free or Reduced-Price Meals","*","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Eligible for Free or Reduced-Price Meals","*","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Eligible for Free or Reduced-Price Meals","*","*"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Eligible for Free or Reduced-Price Meals",8,2.3
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Eligible for Free or Reduced-Price Meals","*","*"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Eligible for Free or Reduced-Price Meals",154,19.8
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Danbury School District","=""0340011""","South Street School","=""0341011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Eligible for Free or Reduced-Price Meals",16,6.4
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""","Eligible for Free or Reduced-Price Meals","N/A","*"
