School Name,Organization Type,Organization Code,Location 1,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet
Bethel School District,Public School Districts,0090011,"One School Street, Box 253
Bethel, CT 06801
",06801,203-794-8601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Canterbury School District,Public School Districts,0220011,"Box 28, 45 Westminster Ro
Canterbury, CT 06331
",06331,860-546-6950,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1996 0:00:00.000,0
Chaplin School District,Public School Districts,0240011,"Box 277, 304 Parish Hill
Chaplin, CT 06235
",06235,860-455-9306,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1996 0:00:00.000,0
Colebrook School District,Public School Districts,0290011,"Box 9, 452 Smith Hill Roa
Colebrook, CT 06021
",06021,860-379-2179,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1996 0:00:00.000,0
Colebrook Consolidated School,Public Schools,0290111,"P.O. Box 9, 452 Smith Hill Road
Colebrook, CT 06021
",06021,860-379-2179,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Horace W. Porter School,Public Schools,0300111,"P.O. Box 166, 3 Schoolhouse Rd.
Columbia, CT 06237-0166
",06237-0166,860-228-9493,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Eastford Elementary School,Public Schools,0390111,"P.O. Box 158, 12 Westford Rd.
Eastford, CT 06242-0158
",06242-0158,860-974-1130,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
East Haddam School District,Public School Districts,0410011,"Box 401, 26 Plains Road
Moodus, CT 06469
",06469,860-873-5090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Nathan Hale-Ray High School,Public Schools,0416111,"P.O. Box 404, 15 School Dr.
Moodus, CT 06469-0404
",06469-0404,860-873-5065,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Aug1994 0:00:00.000,0
Farmington School District,Public School Districts,0520011,"One Monteith Drive
Farmington, CT 06032
",06032,860-673-8270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Old Greenwich School,Public Schools,0570911,"825 Sound Beach Ave.
Old Greenwich, CT 06870-1641
",06870-1641,203-637-0150,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Guilford School District,Public School Districts,0600011,"Box 367, 55 Park Street
Guilford, CT 06437
",06437,203-453-8200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Kent Center School,Public Schools,0680111,"P.O. Box 219, 9 Judd St.
Kent, CT 06757-0219
",06757-0219,860-927-3537,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Killingly School District,Public School Districts,0690011,"PO BOX 210, 79 Westfield Avenue
Danielson, CT 06239
",06239,860-779-6600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Center School,Public Schools,0740211,"P.O. Box 110, 125 West St.
Litchfield, CT 06759
",06759,860-567-7510,1,1,1,1,1,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Litchfield Intermediate School,Public Schools,0740311,"P.O. Box 110, 35 Plumb Hill Rd.
Litchfield, CT 06759
",06759,860-567-7520,0,0,0,0,0,1,1,1,0,0,0,0,0,0,01Jul1997 0:00:00.000,0
Litchfield High School,Public Schools,0746111,"P.O. Box 110, 14 Plumb Hill Road
Litchfield, CT 06759
",06759,860-567-7530,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Lawrence School,Public Schools,0831311,"Kaplan Dr.
Middletown, CT 06457-1837
",06457-1837,860-632-2158,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
New Britain School District,Public School Districts,0890011,"One Liberty Square
New Britain, CT 06051
",06051,860-827-2200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
North Canaan Elementary School,Public Schools,1000111,"P.O. Box 758, 90 Pease St.
North Canaan, CT 06018-2026
",06018-2026,860-824-5149,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Wolfpit School,Public Schools,1032411,"One Starlight Drive
Norwalk, CT 06851-3443
",06851-3443,203-899-2980,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Plainfield High School,Public Schools,1096111,"P.O. Box 218, 105 Putnam Road
Central Village, CT 06332
",06332,860-564-6417,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Ridgefield School District,Public School Districts,1180011,"Box 629, 40 Florida Road
Ridgefield, CT 06877
",06877,203-431-2800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Farmingville Elementary School,Public Schools,1180411,"324 Farmington Rd.
Ridgefield, CT 06877-4299
",06877-4299,203-431-2830,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Salisbury Central School,Public Schools,1220111,"P.O. Box 1808, 45 Lincoln City Rd.
Lakeville, CT 06039-1711
",06039-1711,860-435-9871,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Sharon Center School,Public Schools,1250111,"P.O. Box 1808, 45 Lincoln City Rd.
Lakeville, CT 06039-1711
",06039-1711,860-435-9871,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Shelton School District,Public School Districts,1260011,"Po Box 846, 124 Meadow St
Shelton, CT 06484
",06484,203-924-1023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Intermediate School,Public Schools,1265111,"675 Constitution Blvd. No.
Shelton, CT 06484-6038
",06484-6038,203-926-2000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Sterling School District,Public School Districts,1360011,"1183 Plainfield Pike, Box 159
Oneco, CT 06373
",06373,860-564-4219,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1996 0:00:00.000,0
Voluntown School District,Public School Districts,1470011,"Po Box 129, 195 Main Stre
Voluntown, CT 06384
",06384,860-376-9167,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1996 0:00:00.000,0
West Haven High School,Public Schools,1566111,"One McDonough Plaza
West Haven, CT 06516-5299
",06516-5299,203-937-4360,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
RHAM High School,Regional Schools,2086112,"85 Wall St.
Hebron, CT 06248
(41.666088, -72.362963)",06248,860-228-9474,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2002 0:00:00.000,0
Nonnewaug High School,Regional Schools,2146112,"P.O. Box 469, 5 Minortown Rd.
Woodbury, CT 06798-0469
",06798-0469,203-263-2186,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2002 0:00:00.000,0
University of Hartford Magnet School,Regional Education Service Center Schools,2410214,"196 Bloomfield Ave.
West Hartford, CT 06117
",06117,860-236-2899,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul2001 0:00:00.000,1
Regional Multicultural Magnet School,Regional Education Service Center Schools,2450114,"One Bulkeley Place
New London, CT 06320
",06320,860-437-7775,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul2000 0:00:00.000,1
Connecticut River Academy,Regional Education Service Center Schools,2456014,"One Riverside Drive
East Hartford, CT 06118
",06118,860-913-2032,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2010 0:00:00.000,1
Brooklyn Correctional Institution,State Agency Facilities,3360215,"P.O. Box 297 Route 6
Brooklyn, CT 06234-9801
",06234-9801,860-779-2600,0,0,0,0,0,0,0,0,1,1,1,1,1,1,01Jul2000 0:00:00.000,0
Enfield Correctional Institution,State Agency Facilities,3360415,"P.O. Box 1500
Enfield, CT 06083-1500
",06083-1500,860-814-4339,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2000 0:00:00.000,0
