"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Eligible For Free Lunch",8.1,3.4,6.1,"*",10.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch",3.0,"*",4.8,6.7,7.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch","*","*",0.0,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*",0.0,0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Free Lunch","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Not Eligible For Lunch",0.0,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Free Lunch",17.8,22.1,23.6,27.7,22.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Not Eligible For Lunch",5.8,18.6,"*",16.0,"*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",7.5,11.3,"*",14.3,"*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible For Free Lunch",21.7,20.2,16.6,21.1,17.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Not Eligible For Lunch","*","*",8.8,"*",6.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible For Reduced Lunch","*","*",12.2,"*",16.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible For Free Lunch",15.9,16.1,"*",20.2,19.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Not Eligible For Lunch","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible For Reduced Lunch","*","*",0.0,"*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Free Lunch","N/A","N/A","N/A",80.0,"*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible For Free Lunch",12.7,14.4,11.2,14.3,12.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Not Eligible For Lunch",6.2,"*","*","*",4.1
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible For Reduced Lunch",10.2,"*","*","*",7.6
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Free Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Not Eligible For Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Eligible For Reduced Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible For Free Lunch",41.5,45.1,47.1,44.3,"*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Not Eligible For Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Free Lunch",14.0,17.0,20.7,19.6,16.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Not Eligible For Lunch","*","*",5.7,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Eligible For Reduced Lunch","*","*",9.1,"*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible For Free Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Not Eligible For Lunch",24.7,"*",31.9,"*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible For Free Lunch",35.5,41.1,54.1,50.0,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Not Eligible For Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Eligible For Free Lunch",71.6,74.7,72.0,77.6,"*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Not Eligible For Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Eligible For Free Lunch","*","*",21.6,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Not Eligible For Lunch","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Eligible For Free Lunch",12.6,"*",13.6,13.3,13.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Not Eligible For Lunch",4.7,8.4,10.2,5.2,"*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Eligible For Reduced Lunch",11.1,"*",10.3,12.7,"*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Eligible For Free Lunch","*",16.9,"*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Not Eligible For Lunch",7.4,4.6,5.2,5.5,3.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Not Eligible For Lunch","*",3.7,2.9,4.0,4.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Not Eligible For Lunch","*","*",4.8,"*",2.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Eligible For Free Lunch","*","*","*",0.0,"*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Not Eligible For Lunch",4.7,4.7,4.3,0.0,"*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Eligible For Reduced Lunch","*","*","*","N/A","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Eligible For Free Lunch","*","*","*","*","*"
