"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Count","%"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Eligible for Free or Reduced-Price Meals",119,24.8
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Eligible for Free or Reduced-Price Meals",69,10.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible for Free or Reduced-Price Meals",384,38.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Eligible for Free or Reduced-Price Meals",38,10.1
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Eligible for Free or Reduced-Price Meals",110,23.2
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Eligible for Free or Reduced-Price Meals",32,6.7
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Eligible for Free or Reduced-Price Meals",96,8.2
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Eligible for Free or Reduced-Price Meals",9,12.2
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Eligible for Free or Reduced-Price Meals",122,45.7
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Eligible for Free or Reduced-Price Meals",26,6.5
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible for Free or Reduced-Price Meals",433,27.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Eligible for Free or Reduced-Price Meals",144,11.7
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Eligible for Free or Reduced-Price Meals",31,8.1
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Eligible for Free or Reduced-Price Meals",74,8.0
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Eligible for Free or Reduced-Price Meals",111,27.3
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Eligible for Free or Reduced-Price Meals",118,16.7
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Eligible for Free or Reduced-Price Meals",67,16.1
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Eligible for Free or Reduced-Price Meals","*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Eligible for Free or Reduced-Price Meals",60,7.5
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Eligible for Free or Reduced-Price Meals","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Eligible for Free or Reduced-Price Meals",19,5.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible for Free or Reduced-Price Meals",334,31.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Eligible for Free or Reduced-Price Meals",32,7.7
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Eligible for Free or Reduced-Price Meals",59,17.1
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Eligible for Free or Reduced-Price Meals",143,29.5
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Eligible for Free or Reduced-Price Meals",7,1.4
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Eligible for Free or Reduced-Price Meals",157,23.7
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Eligible for Free or Reduced-Price Meals",118,13.0
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Eligible for Free or Reduced-Price Meals",35,6.8
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Eligible for Free or Reduced-Price Meals",9,2.0
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Eligible for Free or Reduced-Price Meals",21,4.3
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Eligible for Free or Reduced-Price Meals",139,15.1
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Eligible for Free or Reduced-Price Meals",151,24.0
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Eligible for Free or Reduced-Price Meals",83,15.9
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Eligible for Free or Reduced-Price Meals",22,3.2
"East Hampton School District","=""0420011""","Center School","=""0420311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Eligible for Free or Reduced-Price Meals",17,22.4
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","Eligible for Free or Reduced-Price Meals",8,12.9
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","Eligible for Free or Reduced-Price Meals",16,6.6
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Eligible for Free or Reduced-Price Meals",15,19.5
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","Eligible for Free or Reduced-Price Meals",10,3.8
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","Eligible for Free or Reduced-Price Meals",17,6.7
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","Eligible for Free or Reduced-Price Meals",10,3.5
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Eligible for Free or Reduced-Price Meals",372,32.6
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","Eligible for Free or Reduced-Price Meals",162,19.7
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Hartford School District","=""0430011""","Hartford Detention Center","=""3480315""","Eligible for Free or Reduced-Price Meals","N/A","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Eligible for Free or Reduced-Price Meals","*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Eligible for Free or Reduced-Price Meals","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Eligible for Free or Reduced-Price Meals",12,3.8
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Eligible for Free or Reduced-Price Meals",8,3.6
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Eligible for Free or Reduced-Price Meals",25,28.7
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Eligible for Free or Reduced-Price Meals",16,11.1
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Eligible for Free or Reduced-Price Meals",22,13.3
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Eligible for Free or Reduced-Price Meals",14,5.4
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Eligible for Free or Reduced-Price Meals","*","*"
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","Eligible for Free or Reduced-Price Meals",20,8.5
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Eligible for Free or Reduced-Price Meals","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Eligible for Free or Reduced-Price Meals",13,65.0
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Eligible for Free or Reduced-Price Meals","*","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Eligible for Free or Reduced-Price Meals",112,25.6
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Eligible for Free or Reduced-Price Meals","*","*"
