district,endorsement_1,endorsement_2,available_positions,october_1st_vacancies,applicants,dist_code,check_dist_col,district_code,school_code
Ansonia School District                                ,"Spanish, 7-12                                               ",                                                            ,2,1,2,0020011,Ansonia School District,0020011,0020011
Ashford School District                                ,"Comprehensive Special Education, K-12                       ",                                                            ,1,1,7,0030011,Ashford School District,0030011,0030011
Avon School District                                   ,"Mathematics, 7-12                                           ",                                                            ,1,1,3,0040011,Avon School District,0040011,0040011
Avon School District                                   ,Principal                                                   ,                                                            ,1,1,21,0040011,Avon School District,0040011,0040011
Avon School District                                   ,"Comprehensive Special Education, K-12                       ",                                                            ,2,1,26,0040011,Avon School District,0040011,0040011
Bethel School District                                 ,School Library Media Specialist                             ,                                                            ,4,1,4,0090011,Bethel School District,0090011,0090011
Bloomfield School District                             ,"Spanish, 7-12                                               ",                                                            ,1,1,67,0110011,Bloomfield School District,0110011,0110011
Bloomfield School District                             ,"General Science, 7-12                                       ","General Science, Middle School                              ",2,2,19,0110011,Bloomfield School District,0110011,0110011
Bridgeport School District                             ,"Mathematics, 7-12                                           ",                                                            ,30,3,15,0150011,Bridgeport School District,0150011,0150011
Bridgeport School District                             ,"Biology, 7-12                                               ",                                                            ,6,2,10,0150011,Bridgeport School District,0150011,0150011
Bridgeport School District                             ,"Physics, 7-12                                               ",                                                            ,3,1,2,0150011,Bridgeport School District,0150011,0150011
Bridgeport School District                             ,"General Science, 7-12                                       ",                                                            ,10,2,30,0150011,Bridgeport School District,0150011,0150011
Bridgeport School District                             ,School Library Media Specialist                             ,                                                            ,5,1,1,0150011,Bridgeport School District,0150011,0150011
Bridgeport School District                             ,"Comprehensive Special Education, K-12                       ",                                                            ,41,6,55,0150011,Bridgeport School District,0150011,0150011
Bristol School District                                ,"Biology, 7-12                                               ",                                                            ,1,1,12,0170011,Bristol School District,0170011,0170011
Bristol School District                                ,School Library Media Specialist                             ,                                                            ,2,2,10,0170011,Bristol School District,0170011,0170011
Bristol School District                                ,Principal                                                   ,                                                            ,1,1,50,0170011,Bristol School District,0170011,0170011
Brookfield School District                             ,"Spanish, 7-12                                               ",                                                            ,2,2,0,0180011,Brookfield School District,0180011,0180011
Cheshire School District                               ,Speech and Language Pathologist                             ,                                                            ,1,1,2,0250011,Cheshire School District,0250011,0250011
Colchester School District                             ,"TESOL, PK-12                                                ",                                                            ,1,1,6,0280011,Colchester School District,0280011,0280011
Coventry School District                               ,Speech and Language Pathologist                             ,                                                            ,1,1,0,0320011,Coventry School District,0320011,0320011
Danbury School District                                ,"Bilingual, PK-12                                            ","Elementary, K-6                                             ",3,3,5,0340011,Danbury School District,0340011,0340011
Darien School District                                 ,Assistant or Vice Principal                                 ,                                                            ,3,1,42,0350011,Darien School District,0350011,0350011
Darien School District                                 ,"Program Director, Coordinator (School)                      ",                                                            ,1,1,12,0350011,Darien School District,0350011,0350011
Derby School District                                  ,"Spanish, 7-12                                               ",                                                            ,1,1,7,0370011,Derby School District,0370011,0370011
Derby School District                                  ,School Library Media Specialist                             ,                                                            ,2,1,12,0370011,Derby School District,0370011,0370011
Derby School District                                  ,Assistant or Vice Principal                                 ,                                                            ,1,1,89,0370011,Derby School District,0370011,0370011
