"school_code","district_code","type","district","school","street","city","state","zip","phone","fax","website","education_program","program_type","inter_district_magnet","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12"
"0150317","None","Adult Education Providers","","APT Foundation","425 Grand Street","Bridgeport","CT","06610","203-337-9943","203-337-4394","","","","","","","","","","","","","","","","","",""
"0800182","None","Nonpublic Elementary and Secondary Schools","","ARC of Meriden-Wallingford, Inc.","224 Cook Avenue","Meriden","CT","06451","203-238-8362","","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0570182","None","Nonpublic Elementary and Secondary Schools","","Abilis-Greenwich","50 Glenville Street","Greenwich","CT","06831","203-531-1880 x154","203-531-9367","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1350721","None","Nonpublic Elementary and Secondary Schools","","Abilis-Stamford","1150 Summer Street","Stamford","CT","06905","203-324-1880","203-324-4390","","Standard Non-Public","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0090182","None","Nonpublic Elementary and Secondary Schools","","Ability Beyond","4 Berkshire Road","Bethel","CT","06801","203-826-3103","","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8250121","None","Nonpublic Elementary and Secondary Schools","","Academy at Swift River","151 South St","Cummington","MA","01026","800-258-1770","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"0846121","None","Nonpublic Elementary and Secondary Schools","","Academy of Our Lady of Mercy, Lauralton Hall","200 High Street","Milford","CT","06460","203-877-2786","203-876-9760","","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"0951021","None","Nonpublic Elementary and Secondary Schools","","Academy of St. Therese","7 Hurlbutt Road","New London","CT","06230","860-437-6490","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"1336121","None","Nonpublic Elementary and Secondary Schools","","Academy of the Holy Family","54 Main Street","Baltic","CT","06330","860-822-9272","860-822-1318","","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"1670421","None","Nonpublic Elementary and Secondary Schools","","Acord, Inc. - Woodbridge","214 Amity Road","Woodbridge","CT","06492","203-269-3599","203-269-1980","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1480182","None","Nonpublic Elementary and Secondary Schools","","Acord, Inc.- Wallingford","950 Yale Avenue","Wallingford","CT","06492","203-269-3599","203-269-1980","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0830721","None","Nonpublic Elementary and Secondary Schools","","Adelbrook Transition Academy 2","100 Riverview Center, Suite 102","Middletown","CT","06457","860-740-2550","860-788-7629","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0836321","None","Nonpublic Elementary and Secondary Schools","","Adelbrook Transitional Academy 1","100 Riverview Center, Suite 125","Middletown","CT","06547","860-635-6010","860-635-3708","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0330161","None","Nonpublic Elementary and Secondary Schools","","Adelbrook-The Learning Center of Cromwell","60 Hicksville Road","Cromwell","CT","06416","860-635-6010","860-635-3708","","APSEP","","","0","0","0","0","0","1","1","1","1","1","1","1","1","1"
"0430121","None","Nonpublic Elementary and Secondary Schools","","Adelbrook-The Learning Center of East Hartford","21 Church Street","East Hartford","CT","06108","860-540-4300","","adelbrook.org","APSEP","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"0770221","None","Nonpublic Elementary and Secondary Schools","","Adelbrook-The Learning Center of Manchester","42 Prospect Street","Manchester","CT","06040","860-645-1255","","www.adelbrook.org/our-programs/69-learning-","APSEP","","","1","1","1","1","1","1","1","0","0","0","0","0","0","0"
"8250621","None","Nonpublic Elementary and Secondary Schools","","Aditus Inc.","11 Glendale Road","East Longmeadow","MA","01028","x-","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"1512021","None","Nonpublic Elementary and Secondary Schools","","Al Yaqueen Academy","106 Grove Street","Waterbury","CT","06710","203-591-8504","203-681-5918","https://","Standard Non-Public","","","1","1","1","1","1","1","1","0","0","0","0","0","0","0"
"8010261","None","Nonpublic Elementary and Secondary Schools","","Alabama Clinical Schools","1221 Alton Drive, P.O. Box 100968","Birmingham","AL","35210","205-836-9923","","","APSEP","","","","","","","","","","","","","","","",""
"1340321","None","Nonpublic Elementary and Secondary Schools","","Alden Brook School, Incorporated","165 Leonard Road","Stafford Springs","CT","06076","860-684-3398","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"8251611","None","Public Schools","","Alfred M. Chaffee School","9 Clover Street","Oxford","MA","01540","508-987-6057","","","","","","","","","","","","","","","","","","",""
"0930221","None","Nonpublic Elementary and Secondary Schools","","All Nations Christian Academy","358 Lenox Street","New Haven","CT","06513","203-467-6083","","www.allnationschristianacademy.org","Standard Non-Public","","","0","1","1","1","1","1","0","0","0","0","0","0","0","0"
"1036121","None","Nonpublic Elementary and Secondary Schools","","All Saints Catholic School","139 West Rocks Road","Norwalk","CT","06851","203-847-3881","203-847-8055","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"0620321","None","Nonpublic Elementary and Secondary Schools","","Alliance Career Institute","1946 State Street","Hamden","CT","06514","203-624-0492","203-306-3277","","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"1511621","None","Nonpublic Elementary and Secondary Schools","","Alpha & Omega Christian Academy","50 Linden Street","Waterbury","CT","06702","203-754-2557","203-573-1244","","Standard Non-Public","","","0","1","1","1","0","0","1","1","1","1","1","0","0","1"
"0280321","None","Nonpublic Elementary and Secondary Schools","","Alternative Services - CT, Inc.: Mobile Vocational Services","84 Linwood Avenue","Colchester","CT","06266","860-942-8270 x23","860-942-8274","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0280182","None","Nonpublic Elementary and Secondary Schools","","Alternative Services-CT, Inc. (Vocational Program)","661 Windham Road","Windham","CT","06266","860-942-8270 x23","860-942-8274","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1550361","None","Nonpublic Elementary and Secondary Schools","","American School for the Deaf","139 North Main Street","West Hartford","CT","06107","860-570-2300","860-570-2201","","APSEP","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1030121","None","Nonpublic Elementary and Secondary Schools","","Anchor Academy","P.O. Box 774","Norwalk","CT","06852","203-807-5340","","","Standard Non-Public","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0100161","None","Nonpublic Elementary and Secondary Schools","","Arch Bridge School","21 Arch Bridge Road","Bethlehem","CT","06751","203-266-8031","203-266-8035","","APSEP","","","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
"8360521","None","Nonpublic Elementary and Secondary Schools","","Arms Acres","75 Seminary Hill Road","Carmel","NY","10512","845-225-3400","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"0510221","None","Nonpublic Elementary and Secondary Schools","","Assumption Catholic School","605 Stratfield Road","Fairfield","CT","06825","203-334-6271","203-382-0399","www","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"0775121","None","Nonpublic Elementary and Secondary Schools","","Assumption Early Learning Center","27 South Adams Street","Manchester","CT","06040","860-649-0889","860-643-0559","","Standard Non-Public","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"0020121","None","Nonpublic Elementary and Secondary Schools","","Assumption-Ansonia","51 North Cliff Street","Ansonia","CT","06401","203-734-0855","203-734-5521","www.assumptions.homestead.com/assumptions.html","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"8500561","None","Nonpublic Elementary and Secondary Schools","","Austine School for the Deaf","60 Austine Drive","Brattleboro","VT","05301","802-258-9500","","","APSEP","","","","","","","","","","","","","","","",""
"0046121","None","Nonpublic Elementary and Secondary Schools","","Avon Old Farms School","500 Old Farms Road","Avon","CT","06001","860-404-4271","860-404-4135","www.avonoldfarms.com","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"0020382","None","Nonpublic Elementary and Secondary Schools","","BHcare","435 Main Street/Box 658","Ansonia","CT","06401","203-736-2601 x1308","203-736-2641","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1510321","None","Nonpublic Elementary and Secondary Schools","","Bais Yaakov of Waterbury","66 Buckingham Street","Waterbury","CT","06710","203-805-8401","","","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"8340161","None","Nonpublic Elementary and Secondary Schools","","Bancroft NeuroHealth","Hopkins Lane","Haddonfield","NJ","08033","856-429-5637","","","APSEP","","","","","","","","","","","","","","","",""
"1520221","None","Nonpublic Elementary and Secondary Schools","","Baptist Bible Academy","1144 Hartford Turnpike","Waterford","CT","06385","860-442-0277","860-442-9150","","Standard Non-Public","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0570821","None","Nonpublic Elementary and Secondary Schools","","Beacon School-Greenwich","44 Commerce Road","Greenwich","CT","06902","203-661-1609","","","Standard Non-Public","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1351121","None","Nonpublic Elementary and Secondary Schools","","Beacon School-Stamford","111 W. North Street","Stamford","CT","06902","203-200-7244","","","Standard Non-Public","","","0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"8230121","None","Nonpublic Elementary and Secondary Schools","","Becket Family of Services - Androscoggin Learning & Transition","PO Box 1779","Lewiston","ME","04240","207-344-6226","","","APSEP","","","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"8330221","None","Nonpublic Elementary and Secondary Schools","","Becket Family of Services-East Haverhill Academy","2056 Mount Moosilauke Hwy","Pike","NH","03780","603-536-1102","","","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"0700182","None","Nonpublic Elementary and Secondary Schools","","Behavior Management, LLC","33 Bernhard Road","North Haven","CT","06473","203-785-9110","203-785-9338","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8250721","None","Nonpublic Elementary and Secondary Schools","","Bellingham Employment Program","","","","","x-","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"1550561","None","Nonpublic Elementary and Secondary Schools","","Ben Bronz Academy","141 North Main Street","West Hartford","CT","06107","860-236-5807","860-233-9945","","APSEP","","","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"1480461","None","Nonpublic Elementary and Secondary Schools","","Benhaven Academy","50 North Plains Highway","Wallingford","CT","06492","203-774-0008","203-774-0031","","APSEP","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1010221","None","Nonpublic Elementary and Secondary Schools","","Benhaven Individualized Bridge Program","187 Half Mile Rd.","North Haven","CT","06473","203-793-1905","203-793-1909","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
