drg,subject,year,race,total_number_with_scored_tests,level_1not_met_pct,level_3_4met_or_exceeded_pct,total_numberof_students,level_2approaching_pct,smarter_balancedparticipationrate,level_3met_pct,level_4exceeded_pct,total_numbertested
A,ELA,2014-15,American Indian or Alaska Native,,,,,,,,,
A,ELA,2014-15,Asian,856.0,0.0,87.4,919.0,0.0,98.5,41.7,64.2,856.0
A,ELA,2014-15,Black or African American,82.0,,,87.0,,,,,82.0
A,ELA,2014-15,Hispanic/Latino of any race,579.0,18.85,64.25,631.0,31.8,100.0,43.65,29.5,580.0
A,ELA,2014-15,Native Hawaiian or Other Pacific Islander,,,,,,,,,
A,ELA,2014-15,Two or More Races,248.0,,75.35,258.0,,100.0,37.3,39.7,249.0
A,ELA,2014-15,White,12916.0,5.1,83.0,13998.0,12.8,98.0,31.6,50.45,12945.0
A,ELA,2015-16,American Indian or Alaska Native,,,,,,,,,
A,ELA,2015-16,Asian,814.0,0.0,90.75,816.0,4.7,100.0,33.85,56.85,814.0
A,ELA,2015-16,Black or African American,42.0,0.0,,42.0,33.3,,,,42.0
A,ELA,2015-16,Hispanic/Latino of any race,549.0,18.9,69.4,555.0,28.45,100.0,36.4,31.6,550.0
A,ELA,2015-16,Native Hawaiian or Other Pacific Islander,,,,,,,,,
A,ELA,2015-16,Two or More Races,327.0,0.0,80.6,332.0,0.0,100.0,34.4,48.3,327.0
A,ELA,2015-16,White,11464.0,5.2,83.3,11684.0,12.8,98.6,28.2,57.4,11468.0
A,Math,2014-15,American Indian or Alaska Native,,,,,,,,,
A,Math,2014-15,Asian,861.0,0.0,85.1,919.0,19.8,100.0,20.7,58.1,861.0
A,Math,2014-15,Black or African American,82.0,,,87.0,,,,,82.0
A,Math,2014-15,Hispanic/Latino of any race,578.0,24.15,43.95,631.0,31.8,100.0,26.0,30.3,578.0
A,Math,2014-15,Native Hawaiian or Other Pacific Islander,,,,,,,,,
A,Math,2014-15,Two or More Races,247.0,18.2,76.2,258.0,21.2,100.0,30.35,41.2,247.0
