2009_10_entrance_pct,2009_10_persistence_pct,2010_11_entrance_pct,2010_11_persistence_pct,2011_12_entrance_pct,2011_12_persistence_pct,2012_13_entrance_pct,2012_13_persistence_pct,2013_14_entrance_pct,2013_14_persistence_pct,district,district_code,drg,four_y_percent,group,race_ethnicity,school,school_code
71.1,74.1,55.6,85.0,64.3,,63.9,78.3,57.7,,Ansonia School District,0020011,H,78.3,race,Black or African American,Ansonia High School,0026111
52.2,,,,57.9,81.8,55.0,63.6,58.3,61.9,Ansonia School District,0020011,H,63.6,race,Hispanic or Latino,Ansonia High School,0026111
67.4,92.2,61.0,95.7,61.9,89.2,55.3,82.7,61.4,90.7,Ansonia School District,0020011,H,90.7,race,White,Ansonia High School,0026111
81.5,97.0,83.7,95.4,85.9,94.8,87.0,95.7,89.1,94.8,Avon School District,0040011,B,95.4,race,White,Avon High School,0046111
75.9,94.0,83.5,92.5,81.9,92.7,83.4,96.8,87.8,94.2,Berlin School District,0070011,D,94.0,race,White,Berlin High School,0076111
79.1,89.0,82.2,91.4,78.1,91.3,69.3,91.1,81.1,87.3,Bethel School District,0090011,D,91.1,race,White,Bethel High School,0096111
67.2,77.4,76.2,86.9,68.8,77.9,71.1,84.0,72.7,82.5,Bloomfield School District,0110011,G,82.5,race,Black or African American,Bloomfield High School,0116111
85.7,,89.1,93.0,,,88.3,94.1,86.0,93.2,Bolton School District,0120011,C,93.2,race,White,Bolton High School,0126111
80.4,94.7,77.9,90.9,78.7,89.3,77.6,91.8,71.3,91.2,Branford School District,0140011,D,91.2,race,White,Branford High School,0146111
55.8,69.0,55.6,75.4,51.4,78.9,54.5,76.7,45.5,68.6,Bridgeport School District,0150011,I,75.4,race,Black or African American,Bassick High School,0156111
44.1,73.3,31.5,57.1,34.3,75.0,43.4,52.8,34.0,74.3,Bridgeport School District,0150011,I,73.3,race,Hispanic or Latino,Bassick High School,0156111
,,74.1,88.4,72.1,84.1,67.9,,,,Bridgeport School District,0150011,I,86.25,race,American Indian or Alaska Native,Central High School,0156211
68.8,85.5,69.8,81.6,67.2,85.5,66.1,81.3,70.1,84.7,Bridgeport School District,0150011,I,84.7,race,Black or African American,Central High School,0156211
57.6,79.3,61.1,79.1,56.7,80.0,58.9,78.9,53.2,79.2,Bridgeport School District,0150011,I,79.2,race,Hispanic or Latino,Central High School,0156211
59.7,91.9,54.3,,60.0,83.3,72.7,87.5,47.1,87.5,Bridgeport School District,0150011,I,87.5,race,White,Central High School,0156211
58.3,76.2,62.9,75.8,48.4,74.6,53.0,71.0,58.2,75.0,Bridgeport School District,0150011,I,75.0,race,Black or African American,Harding High School,0156311
41.1,82.4,41.2,72.5,45.5,78.6,34.4,71.0,31.9,86.1,Bridgeport School District,0150011,I,78.6,race,Hispanic or Latino,Harding High School,0156311
56.3,,55.9,,53.7,86.2,39.5,,44.2,,Bristol School District,0170011,G,86.2,race,Hispanic or Latino,Bristol Central High School,0176111
67.5,85.8,67.3,90.8,65.1,90.8,72.6,88.7,67.9,90.3,Bristol School District,0170011,G,90.3,race,White,Bristol Central High School,0176111
,,55.6,80.0,52.2,,53.1,,50.0,,Bristol School District,0170011,G,80.0,race,Hispanic or Latino,Bristol Eastern High School,0176211
75.8,86.5,74.9,85.1,67.3,93.2,69.0,87.9,68.6,90.7,Bristol School District,0170011,G,87.9,race,White,Bristol Eastern High School,0176211
85.5,91.5,80.5,89.5,84.1,91.6,89.4,94.8,87.1,93.4,Brookfield School District,0180011,B,91.6,race,White,Brookfield High School,0186111
82.4,90.3,74.8,92.2,84.0,94.4,78.0,91.8,78.4,89.8,Canton School District,0230011,C,91.8,race,White,Canton High School,0236111
