year,drg,subject,english_learner_status_el_,growth_rate
2015-16,A,ELA,ELL,
2015-16,A,ELA,Non-ELL,58.3
2015-16,A,Math,ELL,
2015-16,A,Math,Non-ELL,58.4
2015-16,B,ELA,ELL,46.65
2015-16,B,ELA,Non-ELL,55.7
2015-16,B,Math,ELL,27.65
2015-16,B,Math,Non-ELL,55.0
2015-16,C,ELA,ELL,
2015-16,C,ELA,Non-ELL,49.7
2015-16,C,Math,ELL,
2015-16,C,Math,Non-ELL,50.0
2015-16,D,ELA,ELL,41.65
2015-16,D,ELA,Non-ELL,46.4
2015-16,D,Math,ELL,44.2
2015-16,D,Math,Non-ELL,46.4
2015-16,E,ELA,ELL,
2015-16,E,ELA,Non-ELL,48.3
2015-16,E,Math,ELL,
2015-16,E,Math,Non-ELL,44.4
2015-16,F,ELA,ELL,
2015-16,F,ELA,Non-ELL,42.25
2015-16,F,Math,ELL,
2015-16,F,Math,Non-ELL,44.3
2015-16,G,ELA,ELL,32.0
2015-16,G,ELA,Non-ELL,39.9
2015-16,G,Math,ELL,33.3
2015-16,G,Math,Non-ELL,39.75
2015-16,H,ELA,ELL,31.4
2015-16,H,ELA,Non-ELL,40.9
2015-16,H,Math,ELL,38.05
2015-16,H,Math,Non-ELL,38.3
2015-16,I,ELA,ELL,33.3
2015-16,I,ELA,Non-ELL,33.3
2015-16,I,Math,ELL,32.45
2015-16,I,Math,Non-ELL,31.75
