year,subject,drg,race,total_numberwith_scored_tests,weight,average_score
2016-17,ELA,A,Asian,52.0,34312.0,659.846153846
2016-17,ELA,A,Hispanic/Latino of any race,41.0,23363.0,569.829268293
2016-17,ELA,A,White,1947.0,1200398.0,616.537236775
2016-17,ELA,B,Asian,521.0,324366.0,622.583493282
2016-17,ELA,B,Black or African American,130.0,64914.0,499.338461538
2016-17,ELA,B,Hispanic/Latino of any race,404.0,211365.0,523.180693069
2016-17,ELA,B,White,5469.0,3212813.0,587.458950448
2016-17,ELA,C,Hispanic/Latino of any race,28.0,14812.0,529.0
2016-17,ELA,C,White,2433.0,1391172.0,571.792848335
2016-17,ELA,D,Asian,160.0,92829.0,580.18125
2016-17,ELA,D,Black or African American,153.0,74127.0,484.490196078
2016-17,ELA,D,Hispanic/Latino of any race,323.0,158896.0,491.938080495
2016-17,ELA,D,White,4363.0,2404680.0,551.152876461
2016-17,ELA,E,Asian,21.0,10458.0,498.0
2016-17,ELA,E,White,1212.0,657032.0,542.105610561
2016-17,ELA,F,Asian,20.0,11740.0,587.0
2016-17,ELA,F,Hispanic/Latino of any race,78.0,39410.0,505.256410256
2016-17,ELA,F,White,1264.0,667809.0,528.329905063
2016-17,ELA,G,Asian,159.0,82081.0,516.232704403
2016-17,ELA,G,Black or African American,647.0,297192.0,459.338485317
2016-17,ELA,G,Hispanic/Latino of any race,772.0,354833.0,459.628238342
2016-17,ELA,G,White,2360.0,1225512.0,519.284745763
2016-17,ELA,H,Asian,46.0,24380.0,530.0
2016-17,ELA,H,Black or African American,704.0,323192.0,459.079545455
2016-17,ELA,H,Hispanic/Latino of any race,1532.0,696020.0,454.321148825
2016-17,ELA,H,White,1261.0,685181.0,543.363203807
2016-17,ELA,I,Asian,21.0,10521.0,501.0
2016-17,ELA,I,Black or African American,1553.0,680378.0,438.105602061
2016-17,ELA,I,Hispanic/Latino of any race,2184.0,940606.0,430.68040293
2016-17,ELA,I,White,747.0,386861.0,517.886211513
2016-17,Math,A,Asian,52.0,34672.0,666.769230769
2016-17,Math,A,Hispanic/Latino of any race,41.0,22677.0,553.097560976
2016-17,Math,A,White,1943.0,1182403.0,608.545033453
2016-17,Math,B,Asian,520.0,333035.0,640.451923077
2016-17,Math,B,Black or African American,130.0,62473.0,480.561538462
2016-17,Math,B,Hispanic/Latino of any race,403.0,203008.0,503.741935484
2016-17,Math,B,White,5463.0,3138757.0,574.548233571
2016-17,Math,C,Hispanic/Latino of any race,28.0,15484.0,553.0
2016-17,Math,C,White,2431.0,1350628.0,555.585355821
2016-17,Math,D,Asian,160.0,94714.0,591.9625
2016-17,Math,D,Black or African American,153.0,70269.0,459.274509804
2016-17,Math,D,Hispanic/Latino of any race,323.0,153922.0,476.53869969
2016-17,Math,D,White,4361.0,2316294.0,531.138271039
2016-17,Math,E,Asian,21.0,13734.0,654.0
2016-17,Math,E,White,1207.0,624419.0,517.331400166
2016-17,Math,F,Asian,20.0,11660.0,583.0
2016-17,Math,F,Hispanic/Latino of any race,77.0,36728.0,476.987012987
2016-17,Math,F,White,1263.0,644476.0,510.273950911
2016-17,Math,G,Asian,159.0,87675.0,551.41509434
2016-17,Math,G,Black or African American,643.0,281561.0,437.886469673
2016-17,Math,G,Hispanic/Latino of any race,771.0,339400.0,440.207522698
2016-17,Math,G,White,2352.0,1164983.0,495.315901361
2016-17,Math,H,Asian,45.0,24120.0,536.0
2016-17,Math,H,Black or African American,704.0,307354.0,436.582386364
2016-17,Math,H,Hispanic/Latino of any race,1524.0,666165.0,437.116141732
2016-17,Math,H,White,1258.0,648288.0,515.33227345
2016-17,Math,I,Asian,21.0,11151.0,531.0
2016-17,Math,I,Black or African American,1546.0,641215.0,414.757438551
2016-17,Math,I,Hispanic/Latino of any race,2147.0,881831.0,410.727061015
2016-17,Math,I,White,745.0,368973.0,495.265771812
